party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,7,0,1,203,683
3,6,0,1,168,851
4,5,0,1,120,971
5,6,0,1,168,1139
6,4,0,,0,1139
7,2,0,,0,1139
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,6,1,1,168,777
4,5,1,1,120,897
5,5,1,1,120,1017
6,5,1,,0,1017
7,6,1,,0,1017
8,4,1,,0,1017
9,3,1,,0,1017
10,3,1,,0,1017
0,7,2,1,203,203
1,6,2,1,168,371
2,5,2,1,120,491
3,5,2,1,120,611
4,5,2,1,120,731
5,4,2,1,104,835
6,3,2,,0,835
7,3,2,,0,835
8,4,2,,0,835
9,3,2,,0,835
10,2,2,1,52,887
11,2,2,,0,887
12,2,2,,0,887
13,2,2,,0,887
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,8,3,1,240,923
4,7,3,1,203,1126
5,6,3,,0,1126
6,6,3,,0,1126
7,6,3,,0,1126
8,6,3,,0,1126
9,5,3,,0,1126
10,3,3,,0,1126
11,3,3,,0,1126
12,4,3,,0,1126
13,2,3,1,52,1178
14,2,3,,0,1178
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,7,4,1,203,812
4,8,4,1,240,1052
5,8,4,,0,1052
6,7,4,,0,1052
7,5,4,,0,1052
8,5,4,,0,1052
9,3,4,,0,1052
10,3,4,,0,1052
11,3,4,,0,1052
12,3,4,,0,1052
13,2,4,1,52,1104
14,2,4,,0,1104
15,2,4,,0,1104
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,6,5,1,168,814
4,5,5,1,120,934
5,6,5,1,168,1102
6,6,5,,0,1102
7,4,5,,0,1102
8,3,5,,0,1102
9,4,5,,0,1102
10,3,5,,0,1102
11,2,5,,0,1102
12,2,5,,0,1102
13,2,5,,0,1102
14,2,5,,0,1102
0,8,6,1,240,240
1,7,6,1,203,443
2,8,6,1,240,683
3,8,6,1,240,923
4,5,6,1,120,1043
5,4,6,1,104,1147
6,3,6,,0,1147
7,4,6,,0,1147
8,3,6,,0,1147
9,4,6,,0,1147
10,2,6,,0,1147
