party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,6,0,1,360,803
3,4,0,1,160,963
4,3,0,1,69,1032
5,4,0,1,160,1192
6,4,0,1,160,1352
7,2,0,,0,1352
8,2,0,,0,1352
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,8,1,1,240,886
4,6,1,1,360,1246
5,6,1,,0,1246
6,4,1,1,160,1406
7,3,1,,0,1406
8,3,1,,0,1406
9,2,1,,0,1406
10,2,1,,0,1406
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,7,2,1,203,886
4,8,2,1,240,1126
5,6,2,,0,1126
6,5,2,,0,1126
7,6,2,,0,1126
8,6,2,,0,1126
9,3,2,,0,1126
10,4,2,,0,1126
11,4,2,,0,1126
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,7,3,1,203,886
4,6,3,1,360,1246
5,5,3,,0,1246
6,5,3,,0,1246
7,5,3,,0,1246
8,4,3,1,160,1406
9,4,3,,0,1406
10,3,3,,0,1406
11,2,3,,0,1406
12,2,3,,0,1406
13,2,3,,0,1406
14,2,3,,0,1406
0,8,4,1,240,240
1,8,4,1,240,480
2,8,4,1,240,720
3,8,4,1,240,960
4,6,4,1,360,1320
5,6,4,,0,1320
6,6,4,,0,1320
7,6,4,,0,1320
8,5,4,,0,1320
9,5,4,,0,1320
10,5,4,,0,1320
11,3,4,1,69,1389
12,4,4,,0,1389
13,2,4,,0,1389
14,2,4,,0,1389
15,2,4,,0,1389
0,8,5,1,240,240
1,5,5,1,120,360
2,6,5,1,360,720
3,6,5,1,360,1080
4,5,5,1,120,1200
5,5,5,1,120,1320
6,6,5,,0,1320
7,6,5,,0,1320
8,5,5,,0,1320
9,3,5,,0,1320
10,3,5,,0,1320
11,2,5,,0,1320
12,2,5,,0,1320
13,2,5,,0,1320
0,8,6,1,240,240
1,8,6,1,240,480
2,8,6,1,240,720
3,6,6,1,360,1080
4,5,6,1,120,1200
5,5,6,1,120,1320
6,6,6,,0,1320
7,4,6,,0,1320
8,4,6,,0,1320
9,3,6,,0,1320
10,4,6,,0,1320
11,4,6,,0,1320
