party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,7,0,1,203,646
3,5,0,1,120,766
4,4,0,1,88,854
5,4,0,1,88,942
6,2,0,,0,942
7,2,0,,0,942
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,8,1,1,240,923
4,5,1,1,120,1043
5,6,1,,0,1043
6,3,1,1,69,1112
7,4,1,,0,1112
8,4,1,,0,1112
9,4,1,,0,1112
10,2,1,,0,1112
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,5,2,1,120,766
4,6,2,1,168,934
5,5,2,1,120,1054
6,4,2,,0,1054
7,3,2,,0,1054
8,4,2,,0,1054
9,3,2,,0,1054
10,4,2,,0,1054
11,2,2,,0,1054
12,2,2,,0,1054
0,7,3,1,203,203
1,5,3,1,120,323
2,5,3,1,120,443
3,6,3,1,168,611
4,5,3,1,120,731
5,6,3,1,168,899
6,6,3,,0,899
7,4,3,,0,899
8,4,3,,0,899
9,4,3,,0,899
10,4,3,,0,899
11,2,3,,0,899
12,2,3,,0,899
13,2,3,,0,899
0,7,4,1,203,203
1,8,4,1,240,443
2,6,4,1,168,611
3,5,4,1,120,731
4,6,4,1,168,899
5,6,4,1,168,1067
6,5,4,,0,1067
7,4,4,,0,1067
8,3,4,,0,1067
9,3,4,,0,1067
10,2,4,,0,1067
11,2,4,,0,1067
12,2,4,,0,1067
13,2,4,,0,1067
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,7,5,1,203,812
4,7,5,1,203,1015
5,8,5,,0,1015
6,6,5,,0,1015
7,5,5,,0,1015
8,6,5,,0,1015
9,4,5,,0,1015
10,4,5,,0,1015
11,3,5,,0,1015
12,2,5,1,52,1067
13,2,5,,0,1067
0,8,6,1,240,240
1,7,6,1,203,443
2,8,6,1,240,683
3,5,6,1,120,803
4,5,6,1,120,923
5,6,6,1,168,1091
6,4,6,,0,1091
7,3,6,,0,1091
8,3,6,,0,1091
9,2,6,,0,1091
10,2,6,,0,1091
11,2,6,,0,1091
