party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,5,0,1,120,526
3,5,0,1,120,646
4,5,0,1,120,766
5,5,0,1,120,886
6,3,0,,0,886
7,4,0,,0,886
8,3,0,,0,886
9,4,0,,0,886
0,7,1,1,203,203
1,8,1,1,240,443
2,5,1,1,120,563
3,5,1,1,120,683
4,5,1,1,120,803
5,5,1,1,120,923
6,6,1,,0,923
7,4,1,,0,923
8,4,1,,0,923
9,3,1,,0,923
10,2,1,,0,923
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,8,2,1,240,886
4,7,2,1,203,1089
5,6,2,,0,1089
6,6,2,,0,1089
7,5,2,,0,1089
8,3,2,,0,1089
9,4,2,,0,1089
10,2,2,1,70,1159
11,2,2,,0,1159
12,2,2,,0,1159
0,8,3,1,240,240
1,8,3,1,240,480
2,8,3,1,240,720
3,5,3,1,120,840
4,5,3,1,120,960
5,5,3,1,120,1080
6,5,3,,0,1080
7,6,3,,0,1080
8,5,3,,0,1080
9,5,3,,0,1080
10,6,3,,0,1080
11,4,3,,0,1080
12,3,3,,0,1080
13,4,3,,0,1080
14,4,3,,0,1080
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,7,4,1,203,1089
5,5,4,,0,1089
6,5,4,,0,1089
7,5,4,,0,1089
8,6,4,,0,1089
9,5,4,,0,1089
10,6,4,,0,1089
11,5,4,,0,1089
12,5,4,,0,1089
13,6,4,,0,1089
14,4,4,,0,1089
15,2,4,1,70,1159
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,8,5,1,240,849
4,7,5,1,203,1052
5,8,5,,0,1052
6,8,5,,0,1052
7,6,5,,0,1052
8,5,5,,0,1052
9,5,5,,0,1052
10,5,5,,0,1052
11,3,5,,0,1052
12,3,5,,0,1052
13,2,5,1,70,1122
14,2,5,,0,1122
0,7,6,1,203,203
1,8,6,1,240,443
2,6,6,1,360,803
3,3,6,1,69,872
4,4,6,1,160,1032
5,4,6,1,160,1192
6,4,6,1,160,1352
7,2,6,,0,1352
8,2,6,,0,1352
9,2,6,,0,1352
