party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,7,0,1,203,646
3,5,0,1,120,766
4,2,0,1,70,836
5,2,0,1,70,906
6,2,0,1,70,976
7,2,0,,0,976
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,7,1,1,203,886
4,7,1,1,203,1089
5,8,1,,0,1089
6,5,1,,0,1089
7,3,1,,0,1089
8,3,1,,0,1089
9,2,1,1,70,1159
0,8,2,1,240,240
1,8,2,1,240,480
2,5,2,1,120,600
3,6,2,1,360,960
4,5,2,1,120,1080
5,6,2,1,360,1440
6,4,2,,0,1440
7,3,2,,0,1440
8,3,2,,0,1440
9,4,2,,0,1440
10,4,2,,0,1440
11,2,2,,0,1440
12,2,2,,0,1440
13,2,2,,0,1440
0,7,3,1,203,203
1,7,3,1,203,406
2,8,3,1,240,646
3,6,3,1,360,1006
4,6,3,1,360,1366
5,5,3,1,120,1486
6,5,3,,0,1486
7,5,3,,0,1486
8,5,3,,0,1486
9,5,3,,0,1486
10,3,3,,0,1486
11,3,3,,0,1486
12,4,3,,0,1486
13,2,3,,0,1486
14,2,3,,0,1486
0,7,4,1,203,203
1,7,4,1,203,406
2,6,4,1,360,766
3,5,4,1,120,886
4,5,4,1,120,1006
5,6,4,1,360,1366
6,5,4,,0,1366
7,3,4,,0,1366
8,3,4,,0,1366
9,4,4,,0,1366
10,4,4,,0,1366
11,3,4,,0,1366
12,4,4,,0,1366
13,4,4,,0,1366
14,4,4,,0,1366
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,7,5,1,203,1126
5,8,5,,0,1126
6,6,5,,0,1126
7,5,5,,0,1126
8,5,5,,0,1126
9,6,5,,0,1126
10,4,5,,0,1126
11,4,5,,0,1126
12,3,5,,0,1126
13,4,5,,0,1126
14,3,5,,0,1126
0,7,6,1,203,203
1,8,6,1,240,443
2,7,6,1,203,646
3,8,6,1,240,886
4,7,6,1,203,1089
5,5,6,,0,1089
6,6,6,,0,1089
7,5,6,,0,1089
8,4,6,,0,1089
9,2,6,1,70,1159
10,2,6,,0,1159
