party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,5,0,1,120,563
3,5,0,1,120,683
4,4,0,1,104,787
5,3,0,1,69,856
6,3,0,,0,856
7,4,0,,0,856
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,6,1,1,168,888
4,5,1,1,120,1008
5,6,1,1,168,1176
6,5,1,,0,1176
7,3,1,,0,1176
8,4,1,,0,1176
9,4,1,,0,1176
10,3,1,,0,1176
11,2,1,,0,1176
0,7,2,1,203,203
1,7,2,1,203,406
2,6,2,1,168,574
3,5,2,1,120,694
4,5,2,1,120,814
5,6,2,1,168,982
6,6,2,,0,982
7,4,2,,0,982
8,4,2,,0,982
9,3,2,,0,982
10,4,2,,0,982
11,4,2,,0,982
12,2,2,,0,982
13,2,2,,0,982
0,8,3,1,240,240
1,8,3,1,240,480
2,5,3,1,120,600
3,5,3,1,120,720
4,5,3,1,120,840
5,5,3,1,120,960
6,6,3,,0,960
7,4,3,,0,960
8,4,3,,0,960
9,3,3,,0,960
10,3,3,,0,960
11,3,3,,0,960
12,2,3,,0,960
13,2,3,,0,960
14,2,3,,0,960
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,5,4,1,120,1006
5,6,4,,0,1006
6,6,4,,0,1006
7,6,4,,0,1006
8,6,4,,0,1006
9,3,4,1,69,1075
10,4,4,,0,1075
11,4,4,,0,1075
12,4,4,,0,1075
13,2,4,,0,1075
0,7,5,1,203,203
1,8,5,1,240,443
2,8,5,1,240,683
3,7,5,1,203,886
4,8,5,1,240,1126
5,7,5,,0,1126
6,5,5,,0,1126
7,6,5,,0,1126
8,5,5,,0,1126
9,4,5,,0,1126
10,4,5,,0,1126
11,4,5,,0,1126
12,2,5,1,52,1178
13,2,5,,0,1178
0,7,6,1,203,203
1,7,6,1,203,406
2,5,6,1,120,526
3,6,6,1,168,694
4,5,6,1,120,814
5,5,6,1,120,934
6,3,6,,0,934
7,3,6,,0,934
8,3,6,,0,934
9,2,6,,0,934
