party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,3,0,1,69,512
3,3,0,1,69,581
4,3,0,1,69,650
5,3,0,1,69,719
6,2,0,1,52,771
7,2,0,,0,771
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,6,1,1,168,888
4,5,1,1,120,1008
5,5,1,1,120,1128
6,5,1,,0,1128
7,4,1,,0,1128
8,4,1,,0,1128
9,4,1,,0,1128
10,3,1,,0,1128
0,8,2,1,240,240
1,7,2,1,203,443
2,5,2,1,120,563
3,6,2,1,168,731
4,5,2,1,120,851
5,3,2,1,69,920
6,4,2,,0,920
7,4,2,,0,920
8,3,2,,0,920
9,4,2,,0,920
10,2,2,,0,920
11,2,2,,0,920
12,2,2,,0,920
13,2,2,,0,920
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,6,3,1,168,851
4,6,3,1,168,1019
5,6,3,1,168,1187
6,5,3,,0,1187
7,4,3,,0,1187
8,3,3,,0,1187
9,3,3,,0,1187
10,4,3,,0,1187
11,3,3,,0,1187
12,3,3,,0,1187
13,4,3,,0,1187
14,4,3,,0,1187
15,2,3,,0,1187
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,5,4,1,120,766
4,5,4,1,120,886
5,6,4,1,168,1054
6,6,4,,0,1054
7,6,4,,0,1054
8,5,4,,0,1054
9,6,4,,0,1054
10,6,4,,0,1054
11,3,4,,0,1054
12,3,4,,0,1054
13,3,4,,0,1054
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,5,5,1,120,766
4,4,5,1,104,870
5,3,5,1,69,939
6,3,5,,0,939
7,3,5,,0,939
8,3,5,,0,939
9,3,5,,0,939
10,4,5,,0,939
11,2,5,,0,939
12,2,5,,0,939
13,2,5,,0,939
14,2,5,,0,939
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,8,6,1,240,923
4,8,6,1,240,1163
5,7,6,,0,1163
6,3,6,,0,1163
7,2,6,1,52,1215
8,2,6,,0,1215
9,2,6,,0,1215
