party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,8,0,1,240,646
3,8,0,1,240,886
4,7,0,1,203,1089
5,6,0,,0,1089
6,2,0,1,52,1141
7,2,0,,0,1141
8,2,0,,0,1141
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,6,1,1,168,851
4,6,1,1,168,1019
5,3,1,1,69,1088
6,3,1,,0,1088
7,4,1,,0,1088
8,3,1,,0,1088
9,2,1,,0,1088
10,2,1,,0,1088
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,5,2,1,120,766
4,6,2,1,168,934
5,6,2,1,168,1102
6,5,2,,0,1102
7,6,2,,0,1102
8,4,2,,0,1102
9,3,2,,0,1102
10,3,2,,0,1102
11,4,2,,0,1102
12,2,2,,0,1102
0,8,3,1,240,240
1,7,3,1,203,443
2,8,3,1,240,683
3,7,3,1,203,886
4,7,3,1,203,1089
5,8,3,,0,1089
6,5,3,,0,1089
7,6,3,,0,1089
8,5,3,,0,1089
9,4,3,,0,1089
10,3,3,,0,1089
11,4,3,,0,1089
12,3,3,,0,1089
13,3,3,,0,1089
14,2,3,1,52,1141
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,7,4,1,203,849
4,5,4,1,120,969
5,5,4,,0,969
6,5,4,,0,969
7,3,4,1,69,1038
8,3,4,,0,1038
9,3,4,,0,1038
10,4,4,,0,1038
11,2,4,,0,1038
12,2,4,,0,1038
13,2,4,,0,1038
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,7,5,1,203,1126
5,5,5,,0,1126
6,6,5,,0,1126
7,5,5,,0,1126
8,4,5,,0,1126
9,4,5,,0,1126
10,4,5,,0,1126
11,2,5,1,52,1178
12,2,5,,0,1178
13,2,5,,0,1178
14,2,5,,0,1178
0,7,6,1,203,203
1,7,6,1,203,406
2,6,6,1,168,574
3,6,6,1,168,742
4,5,6,1,120,862
5,3,6,1,69,931
6,4,6,,0,931
7,2,6,,0,931
8,2,6,,0,931
9,2,6,,0,931
10,2,6,,0,931
