party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,8,0,1,240,683
3,7,0,1,203,886
4,6,0,1,168,1054
5,6,0,,0,1054
6,4,0,1,104,1158
7,4,0,,0,1158
8,2,0,,0,1158
0,7,1,1,203,203
1,8,1,1,240,443
2,5,1,1,120,563
3,6,1,1,168,731
4,5,1,1,120,851
5,5,1,1,120,971
6,6,1,,0,971
7,5,1,,0,971
8,4,1,,0,971
9,2,1,,0,971
10,2,1,,0,971
0,7,2,1,203,203
1,7,2,1,203,406
2,5,2,1,120,526
3,6,2,1,168,694
4,5,2,1,120,814
5,5,2,1,120,934
6,5,2,,0,934
7,6,2,,0,934
8,6,2,,0,934
9,4,2,,0,934
10,3,2,,0,934
11,3,2,,0,934
0,8,3,1,240,240
1,7,3,1,203,443
2,8,3,1,240,683
3,5,3,1,120,803
4,5,3,1,120,923
5,5,3,1,120,1043
6,5,3,,0,1043
7,3,3,,0,1043
8,4,3,,0,1043
9,3,3,,0,1043
10,3,3,,0,1043
11,3,3,,0,1043
12,2,3,,0,1043
13,2,3,,0,1043
14,2,3,,0,1043
0,8,4,1,240,240
1,7,4,1,203,443
2,8,4,1,240,683
3,7,4,1,203,886
4,6,4,1,168,1054
5,6,4,,0,1054
6,5,4,,0,1054
7,6,4,,0,1054
8,5,4,,0,1054
9,5,4,,0,1054
10,5,4,,0,1054
11,4,4,1,104,1158
12,3,4,,0,1158
13,4,4,,0,1158
14,4,4,,0,1158
15,2,4,,0,1158
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,8,5,1,240,849
4,7,5,1,203,1052
5,6,5,,0,1052
6,6,5,,0,1052
7,6,5,,0,1052
8,6,5,,0,1052
9,5,5,,0,1052
10,6,5,,0,1052
11,3,5,,0,1052
12,4,5,,0,1052
13,3,5,,0,1052
14,2,5,1,52,1104
0,8,6,1,240,240
1,8,6,1,240,480
2,5,6,1,120,600
3,5,6,1,120,720
4,4,6,1,104,824
5,3,6,1,69,893
6,4,6,,0,893
7,2,6,1,52,945
8,2,6,,0,945
9,2,6,,0,945
