party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,7,0,1,203,646
3,7,0,1,203,849
4,8,0,1,240,1089
5,5,0,,0,1089
6,4,0,,0,1089
7,2,0,1,52,1141
8,2,0,,0,1141
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,8,1,1,240,849
4,6,1,1,168,1017
5,6,1,,0,1017
6,5,1,,0,1017
7,3,1,1,69,1086
8,3,1,,0,1086
9,3,1,,0,1086
10,2,1,,0,1086
0,8,2,1,240,240
1,7,2,1,203,443
2,5,2,1,120,563
3,5,2,1,120,683
4,6,2,1,168,851
5,4,2,1,104,955
6,3,2,,0,955
7,3,2,,0,955
8,3,2,,0,955
9,4,2,,0,955
10,2,2,,0,955
11,2,2,,0,955
12,2,2,,0,955
0,8,3,1,240,240
1,7,3,1,203,443
2,8,3,1,240,683
3,6,3,1,168,851
4,5,3,1,120,971
5,6,3,1,168,1139
6,5,3,,0,1139
7,4,3,,0,1139
8,4,3,,0,1139
9,4,3,,0,1139
10,4,3,,0,1139
11,2,3,,0,1139
12,2,3,,0,1139
13,2,3,,0,1139
14,2,3,,0,1139
15,2,3,,0,1139
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,8,4,1,240,849
4,7,4,1,203,1052
5,7,4,,0,1052
6,6,4,,0,1052
7,5,4,,0,1052
8,6,4,,0,1052
9,3,4,,0,1052
10,4,4,,0,1052
11,3,4,,0,1052
12,2,4,1,52,1104
13,2,4,,0,1104
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,8,5,1,240,849
4,5,5,1,120,969
5,6,5,,0,969
6,3,5,1,69,1038
7,4,5,,0,1038
8,4,5,,0,1038
9,3,5,,0,1038
10,4,5,,0,1038
11,3,5,,0,1038
12,2,5,,0,1038
13,2,5,,0,1038
0,7,6,1,203,203
1,6,6,1,168,371
2,5,6,1,120,491
3,5,6,1,120,611
4,5,6,1,120,731
5,5,6,1,120,851
6,3,6,,0,851
7,3,6,,0,851
8,4,6,,0,851
9,2,6,,0,851
10,2,6,,0,851
