party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,8,0,1,240,720
3,6,0,1,168,888
4,5,0,1,120,1008
5,6,0,1,168,1176
6,6,0,,0,1176
7,3,0,,0,1176
8,3,0,,0,1176
9,2,0,,0,1176
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,8,1,1,240,923
4,3,1,1,69,992
5,4,1,1,104,1096
6,2,1,,0,1096
7,2,1,,0,1096
8,2,1,,0,1096
9,2,1,,0,1096
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,8,2,1,240,886
4,6,2,1,168,1054
5,6,2,,0,1054
6,4,2,1,104,1158
7,4,2,,0,1158
8,3,2,,0,1158
9,4,2,,0,1158
10,4,2,,0,1158
11,2,2,,0,1158
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,7,3,1,203,849
4,6,3,1,168,1017
5,5,3,,0,1017
6,5,3,,0,1017
7,5,3,,0,1017
8,3,3,1,69,1086
9,4,3,,0,1086
10,3,3,,0,1086
11,4,3,,0,1086
12,2,3,,0,1086
13,2,3,,0,1086
0,7,4,1,203,203
1,8,4,1,240,443
2,6,4,1,168,611
3,6,4,1,168,779
4,6,4,1,168,947
5,6,4,1,168,1115
6,5,4,,0,1115
7,6,4,,0,1115
8,6,4,,0,1115
9,4,4,,0,1115
10,4,4,,0,1115
11,3,4,,0,1115
12,3,4,,0,1115
13,4,4,,0,1115
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,5,5,1,120,1043
5,6,5,,0,1043
6,6,5,,0,1043
7,4,5,1,104,1147
8,4,5,,0,1147
9,4,5,,0,1147
10,3,5,,0,1147
11,2,5,,0,1147
12,2,5,,0,1147
13,2,5,,0,1147
14,2,5,,0,1147
0,8,6,1,240,240
1,8,6,1,240,480
2,6,6,1,168,648
3,6,6,1,168,816
4,5,6,1,120,936
5,6,6,1,168,1104
6,5,6,,0,1104
7,3,6,,0,1104
8,3,6,,0,1104
9,2,6,,0,1104
