party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,8,0,1,240,923
4,8,0,1,240,1163
5,5,0,1,120,1283
6,5,0,1,120,1403
7,2,0,1,70,1473
0,7,1,1,203,203
1,6,1,1,360,563
2,6,1,1,360,923
3,5,1,1,120,1043
4,6,1,1,360,1403
5,3,1,1,69,1472
6,4,1,1,160,1632
7,3,1,1,69,1701
8,4,1,1,160,1861
9,3,1,1,69,1930
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,7,2,1,203,849
4,6,2,1,360,1209
5,5,2,1,120,1329
6,5,2,1,120,1449
7,4,2,1,160,1609
8,4,2,1,160,1769
9,3,2,1,69,1838
10,4,2,1,160,1998
11,4,2,1,160,2158
12,3,2,1,69,2227
13,2,2,1,70,2297
0,8,3,1,240,240
1,7,3,1,203,443
2,6,3,1,360,803
3,6,3,1,360,1163
4,5,3,1,120,1283
5,5,3,1,120,1403
6,6,3,1,360,1763
7,6,3,1,360,2123
8,4,3,1,160,2283
9,4,3,1,160,2443
10,4,3,1,160,2603
11,4,3,1,160,2763
12,3,3,1,69,2832
13,4,3,1,160,2992
14,2,3,1,70,3062
0,7,4,1,203,203
1,8,4,1,240,443
2,8,4,1,240,683
3,6,4,1,360,1043
4,6,4,1,360,1403
5,5,4,1,120,1523
6,5,4,1,120,1643
7,3,4,1,69,1712
8,4,4,1,160,1872
9,4,4,1,160,2032
10,4,4,1,160,2192
11,4,4,1,160,2352
12,2,4,1,70,2422
13,2,4,1,70,2492
0,7,5,1,203,203
1,5,5,1,120,323
2,6,5,1,360,683
3,6,5,1,360,1043
4,6,5,1,360,1403
5,5,5,1,120,1523
6,3,5,1,69,1592
7,3,5,1,69,1661
8,4,5,1,160,1821
9,2,5,1,70,1891
10,2,5,1,70,1961
11,2,5,1,70,2031
12,2,5,1,70,2101
13,2,5,1,70,2171
14,2,5,1,70,2241
0,8,6,1,240,240
1,8,6,1,240,480
2,8,6,1,240,720
3,6,6,1,360,1080
4,4,6,1,160,1240
5,4,6,1,160,1400
6,3,6,1,69,1469
7,3,6,1,69,1538
8,3,6,1,69,1607
9,2,6,1,70,1677
10,2,6,1,70,1747
