party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,7,0,1,203,646
3,7,0,1,203,849
4,7,0,1,203,1052
5,8,0,,0,1052
6,6,0,,0,1052
7,5,0,,0,1052
8,2,0,1,52,1104
9,2,0,,0,1104
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,6,1,1,168,888
4,6,1,1,168,1056
5,5,1,1,120,1176
6,6,1,,0,1176
7,5,1,,0,1176
8,5,1,,0,1176
9,4,1,,0,1176
10,3,1,,0,1176
11,2,1,,0,1176
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,8,2,1,240,886
4,5,2,1,120,1006
5,6,2,,0,1006
6,5,2,,0,1006
7,6,2,,0,1006
8,5,2,,0,1006
9,3,2,1,69,1075
10,3,2,,0,1075
11,3,2,,0,1075
12,2,2,,0,1075
13,2,2,,0,1075
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,5,3,1,120,729
4,6,3,1,168,897
5,5,3,1,120,1017
6,6,3,,0,1017
7,5,3,,0,1017
8,6,3,,0,1017
9,4,3,,0,1017
10,4,3,,0,1017
11,4,3,,0,1017
12,2,3,,0,1017
13,2,3,,0,1017
14,2,3,,0,1017
0,7,4,1,203,203
1,8,4,1,240,443
2,8,4,1,240,683
3,7,4,1,203,886
4,5,4,1,120,1006
5,5,4,,0,1006
6,6,4,,0,1006
7,3,4,1,69,1075
8,3,4,,0,1075
9,4,4,,0,1075
10,3,4,,0,1075
11,4,4,,0,1075
12,3,4,,0,1075
13,4,4,,0,1075
14,2,4,,0,1075
15,2,4,,0,1075
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,5,5,1,120,803
4,6,5,1,168,971
5,4,5,1,88,1059
6,3,5,,0,1059
7,4,5,,0,1059
8,4,5,,0,1059
9,4,5,,0,1059
10,4,5,,0,1059
11,4,5,,0,1059
12,2,5,,0,1059
13,2,5,,0,1059
0,6,6,1,168,168
1,5,6,1,120,288
2,6,6,1,168,456
3,4,6,1,88,544
4,3,6,1,69,613
5,3,6,1,69,682
6,3,6,1,69,751
7,3,6,,0,751
8,3,6,,0,751
9,2,6,,0,751
10,2,6,,0,751
11,2,6,,0,751
