party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,7,0,1,203,609
3,8,0,1,240,849
4,7,0,1,203,1052
5,5,0,,0,1052
6,6,0,,0,1052
7,3,0,,0,1052
8,3,0,,0,1052
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,8,1,1,240,960
4,5,1,1,120,1080
5,5,1,,0,1080
6,6,1,,0,1080
7,3,1,1,69,1149
8,3,1,,0,1149
9,4,1,,0,1149
10,2,1,,0,1149
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,8,2,1,240,849
4,8,2,1,240,1089
5,6,2,,0,1089
6,6,2,,0,1089
7,4,2,,0,1089
8,3,2,,0,1089
9,3,2,,0,1089
10,3,2,,0,1089
11,2,2,1,70,1159
0,8,3,1,240,240
1,8,3,1,240,480
2,8,3,1,240,720
3,7,3,1,203,923
4,8,3,1,240,1163
5,6,3,,0,1163
6,6,3,,0,1163
7,3,3,,0,1163
8,4,3,,0,1163
9,3,3,,0,1163
10,2,3,1,70,1233
11,2,3,,0,1233
12,2,3,,0,1233
13,2,3,,0,1233
0,7,4,1,203,203
1,8,4,1,240,443
2,8,4,1,240,683
3,8,4,1,240,923
4,4,4,1,160,1083
5,3,4,1,69,1152
6,4,4,,0,1152
7,3,4,,0,1152
8,4,4,,0,1152
9,4,4,,0,1152
10,4,4,,0,1152
11,4,4,,0,1152
12,2,4,,0,1152
13,2,4,,0,1152
14,2,4,,0,1152
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,8,5,1,240,960
4,7,5,1,203,1163
5,7,5,,0,1163
6,5,5,,0,1163
7,5,5,,0,1163
8,3,5,,0,1163
9,4,5,,0,1163
10,4,5,,0,1163
11,2,5,1,70,1233
12,2,5,,0,1233
13,2,5,,0,1233
14,2,5,,0,1233
0,7,6,1,203,203
1,7,6,1,203,406
2,7,6,1,203,609
3,3,6,1,69,678
4,4,6,1,160,838
5,3,6,1,69,907
6,4,6,,0,907
7,3,6,,0,907
8,2,6,1,70,977
9,2,6,,0,977
10,2,6,,0,977
