party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,5,0,1,120,526
3,5,0,1,120,646
4,4,0,1,160,806
5,3,0,1,69,875
6,2,0,1,70,945
7,2,0,,0,945
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,7,1,1,203,812
4,6,1,1,360,1172
5,5,1,,0,1172
6,5,1,,0,1172
7,3,1,1,69,1241
8,3,1,,0,1241
9,3,1,,0,1241
10,3,1,,0,1241
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,7,2,1,203,886
4,6,2,1,360,1246
5,6,2,,0,1246
6,4,2,1,160,1406
7,3,2,,0,1406
8,3,2,,0,1406
9,3,2,,0,1406
10,2,2,,0,1406
11,2,2,,0,1406
12,2,2,,0,1406
13,2,2,,0,1406
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,6,3,1,360,1006
4,6,3,1,360,1366
5,5,3,1,120,1486
6,5,3,,0,1486
7,5,3,,0,1486
8,6,3,,0,1486
9,4,3,,0,1486
10,4,3,,0,1486
11,4,3,,0,1486
12,2,3,,0,1486
13,2,3,,0,1486
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,7,4,1,203,1089
5,8,4,,0,1089
6,7,4,,0,1089
7,6,4,,0,1089
8,6,4,,0,1089
9,6,4,,0,1089
10,3,4,,0,1089
11,4,4,,0,1089
12,4,4,,0,1089
13,3,4,,0,1089
14,4,4,,0,1089
15,2,4,1,70,1159
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,7,5,1,203,812
4,5,5,1,120,932
5,6,5,,0,932
6,6,5,,0,932
7,5,5,,0,932
8,6,5,,0,932
9,3,5,1,69,1001
10,4,5,,0,1001
11,3,5,,0,1001
12,3,5,,0,1001
13,2,5,,0,1001
14,2,5,,0,1001
0,8,6,1,240,240
1,7,6,1,203,443
2,8,6,1,240,683
3,7,6,1,203,886
4,7,6,1,203,1089
5,6,6,,0,1089
6,5,6,,0,1089
7,3,6,,0,1089
8,3,6,,0,1089
9,2,6,1,70,1159
