party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,6,0,1,168,611
3,6,0,1,168,779
4,5,0,1,120,899
5,6,0,1,168,1067
6,6,0,,0,1067
7,4,0,,0,1067
8,2,0,,0,1067
9,2,0,,0,1067
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,8,1,1,240,886
4,6,1,1,168,1054
5,6,1,,0,1054
6,3,1,1,69,1123
7,4,1,,0,1123
8,4,1,,0,1123
9,2,1,,0,1123
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,7,2,1,203,849
4,5,2,1,120,969
5,5,2,,0,969
6,5,2,,0,969
7,5,2,,0,969
8,4,2,1,88,1057
9,4,2,,0,1057
10,2,2,,0,1057
11,2,2,,0,1057
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,6,3,1,168,1054
5,6,3,,0,1054
6,6,3,,0,1054
7,6,3,,0,1054
8,3,3,1,69,1123
9,4,3,,0,1123
10,4,3,,0,1123
11,3,3,,0,1123
12,2,3,,0,1123
13,2,3,,0,1123
14,2,3,,0,1123
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,7,4,1,203,849
4,8,4,1,240,1089
5,8,4,,0,1089
6,6,4,,0,1089
7,5,4,,0,1089
8,6,4,,0,1089
9,3,4,,0,1089
10,4,4,,0,1089
11,3,4,,0,1089
12,3,4,,0,1089
13,4,4,,0,1089
0,7,5,1,203,203
1,8,5,1,240,443
2,8,5,1,240,683
3,8,5,1,240,923
4,5,5,1,120,1043
5,6,5,,0,1043
6,5,5,,0,1043
7,6,5,,0,1043
8,5,5,,0,1043
9,4,5,1,88,1131
10,3,5,,0,1131
11,3,5,,0,1131
12,3,5,,0,1131
13,2,5,,0,1131
14,2,5,,0,1131
0,7,6,1,203,203
1,6,6,1,168,371
2,5,6,1,120,491
3,5,6,1,120,611
4,5,6,1,120,731
5,5,6,1,120,851
6,4,6,,0,851
7,3,6,,0,851
8,4,6,,0,851
9,2,6,,0,851
