party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,7,0,1,203,609
3,8,0,1,240,849
4,8,0,1,240,1089
5,8,0,,0,1089
6,3,0,,0,1089
7,3,0,,0,1089
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,6,1,1,360,1043
4,3,1,1,69,1112
5,4,1,1,160,1272
6,2,1,,0,1272
7,2,1,,0,1272
8,2,1,,0,1272
9,2,1,,0,1272
10,2,1,,0,1272
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,5,2,1,120,803
4,5,2,1,120,923
5,6,2,1,360,1283
6,5,2,,0,1283
7,3,2,,0,1283
8,3,2,,0,1283
9,3,2,,0,1283
10,4,2,,0,1283
11,3,2,,0,1283
12,2,2,,0,1283
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,7,3,1,203,1089
5,8,3,,0,1089
6,6,3,,0,1089
7,6,3,,0,1089
8,6,3,,0,1089
9,3,3,,0,1089
10,3,3,,0,1089
11,3,3,,0,1089
12,2,3,1,70,1159
13,2,3,,0,1159
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,7,4,1,203,1089
5,5,4,,0,1089
6,5,4,,0,1089
7,5,4,,0,1089
8,6,4,,0,1089
9,4,4,,0,1089
10,3,4,,0,1089
11,3,4,,0,1089
12,4,4,,0,1089
13,2,4,1,70,1159
14,2,4,,0,1159
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,7,5,1,203,812
4,8,5,1,240,1052
5,8,5,,0,1052
6,8,5,,0,1052
7,7,5,,0,1052
8,6,5,,0,1052
9,5,5,,0,1052
10,6,5,,0,1052
11,3,5,,0,1052
12,4,5,,0,1052
13,4,5,,0,1052
14,3,5,,0,1052
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,8,6,1,240,923
4,6,6,1,360,1283
5,6,6,,0,1283
6,5,6,,0,1283
7,4,6,1,160,1443
8,4,6,,0,1443
9,3,6,,0,1443
10,3,6,,0,1443
