party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,5,0,1,120,563
3,5,0,1,120,683
4,3,0,1,69,752
5,3,0,1,69,821
6,2,0,1,70,891
7,2,0,,0,891
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,7,1,1,203,923
4,7,1,1,203,1126
5,8,1,,0,1126
6,6,1,,0,1126
7,6,1,,0,1126
8,4,1,,0,1126
9,4,1,,0,1126
10,3,1,,0,1126
11,2,1,1,70,1196
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,7,2,1,203,849
4,6,2,1,360,1209
5,5,2,,0,1209
6,6,2,,0,1209
7,6,2,,0,1209
8,3,2,1,69,1278
9,4,2,,0,1278
10,2,2,,0,1278
11,2,2,,0,1278
12,2,2,,0,1278
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,8,3,1,240,886
4,8,3,1,240,1126
5,5,3,,0,1126
6,6,3,,0,1126
7,6,3,,0,1126
8,6,3,,0,1126
9,4,3,,0,1126
10,3,3,,0,1126
11,4,3,,0,1126
12,3,3,,0,1126
13,3,3,,0,1126
14,3,3,,0,1126
15,3,3,,0,1126
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,7,4,1,203,849
4,7,4,1,203,1052
5,8,4,,0,1052
6,6,4,,0,1052
7,5,4,,0,1052
8,5,4,,0,1052
9,5,4,,0,1052
10,3,4,,0,1052
11,3,4,,0,1052
12,2,4,1,70,1122
13,2,4,,0,1122
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,8,5,1,240,886
4,6,5,1,360,1246
5,5,5,,0,1246
6,5,5,,0,1246
7,6,5,,0,1246
8,3,5,1,69,1315
9,3,5,,0,1315
10,4,5,,0,1315
11,4,5,,0,1315
12,2,5,,0,1315
13,2,5,,0,1315
0,7,6,1,203,203
1,8,6,1,240,443
2,7,6,1,203,646
3,6,6,1,360,1006
4,6,6,1,360,1366
5,5,6,1,120,1486
6,5,6,,0,1486
7,4,6,,0,1486
8,4,6,,0,1486
9,4,6,,0,1486
10,4,6,,0,1486
11,2,6,,0,1486
