party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,8,0,1,240,646
3,7,0,1,203,849
4,8,0,1,240,1089
5,6,0,,0,1089
6,6,0,,0,1089
7,5,0,,0,1089
8,3,0,,0,1089
9,2,0,1,70,1159
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,7,1,1,203,812
4,7,1,1,203,1015
5,6,1,,0,1015
6,4,1,,0,1015
7,2,1,1,70,1085
8,2,1,,0,1085
9,2,1,,0,1085
10,2,1,,0,1085
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,6,2,1,360,969
4,5,2,1,120,1089
5,5,2,1,120,1209
6,6,2,,0,1209
7,5,2,,0,1209
8,4,2,,0,1209
9,4,2,,0,1209
10,4,2,,0,1209
11,2,2,,0,1209
12,2,2,,0,1209
13,2,2,,0,1209
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,7,3,1,203,849
4,7,3,1,203,1052
5,8,3,,0,1052
6,5,3,,0,1052
7,6,3,,0,1052
8,6,3,,0,1052
9,5,3,,0,1052
10,6,3,,0,1052
11,4,3,,0,1052
12,4,3,,0,1052
13,3,3,,0,1052
14,3,3,,0,1052
15,2,3,1,70,1122
0,7,4,1,203,203
1,8,4,1,240,443
2,8,4,1,240,683
3,5,4,1,120,803
4,5,4,1,120,923
5,6,4,1,360,1283
6,6,4,,0,1283
7,5,4,,0,1283
8,3,4,,0,1283
9,4,4,,0,1283
10,3,4,,0,1283
11,3,4,,0,1283
12,4,4,,0,1283
13,3,4,,0,1283
14,2,4,,0,1283
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,8,5,1,240,849
4,6,5,1,360,1209
5,6,5,,0,1209
6,6,5,,0,1209
7,6,5,,0,1209
8,3,5,1,69,1278
9,3,5,,0,1278
10,4,5,,0,1278
11,4,5,,0,1278
12,2,5,,0,1278
13,2,5,,0,1278
0,7,6,1,203,203
1,8,6,1,240,443
2,5,6,1,120,563
3,6,6,1,360,923
4,6,6,1,360,1283
5,4,6,1,160,1443
6,3,6,,0,1443
7,4,6,,0,1443
8,4,6,,0,1443
9,2,6,,0,1443
10,2,6,,0,1443
11,2,6,,0,1443
