party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,8,0,1,240,720
3,7,0,1,203,923
4,7,0,1,203,1126
5,8,0,,0,1126
6,6,0,,0,1126
7,5,0,,0,1126
0,7,1,1,203,203
1,7,1,1,203,406
2,5,1,1,120,526
3,6,1,1,168,694
4,6,1,1,168,862
5,5,1,1,120,982
6,4,1,,0,982
7,3,1,,0,982
8,2,1,,0,982
9,2,1,,0,982
10,2,1,,0,982
0,8,2,1,240,240
1,8,2,1,240,480
2,8,2,1,240,720
3,5,2,1,120,840
4,5,2,1,120,960
5,6,2,1,168,1128
6,5,2,,0,1128
7,4,2,,0,1128
8,4,2,,0,1128
9,3,2,,0,1128
10,4,2,,0,1128
11,2,2,,0,1128
12,2,2,,0,1128
0,8,3,1,240,240
1,8,3,1,240,480
2,8,3,1,240,720
3,8,3,1,240,960
4,6,3,1,168,1128
5,6,3,,0,1128
6,6,3,,0,1128
7,6,3,,0,1128
8,6,3,,0,1128
9,5,3,,0,1128
10,3,3,1,69,1197
11,3,3,,0,1197
12,4,3,,0,1197
13,3,3,,0,1197
0,7,4,1,203,203
1,8,4,1,240,443
2,5,4,1,120,563
3,6,4,1,168,731
4,6,4,1,168,899
5,3,4,1,69,968
6,3,4,,0,968
7,3,4,,0,968
8,3,4,,0,968
9,2,4,,0,968
10,2,4,,0,968
11,2,4,,0,968
12,2,4,,0,968
13,2,4,,0,968
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,7,5,1,203,849
4,7,5,1,203,1052
5,6,5,,0,1052
6,6,5,,0,1052
7,6,5,,0,1052
8,6,5,,0,1052
9,6,5,,0,1052
10,3,5,,0,1052
11,4,5,,0,1052
12,2,5,1,52,1104
13,2,5,,0,1104
14,2,5,,0,1104
0,8,6,1,240,240
1,7,6,1,203,443
2,5,6,1,120,563
3,5,6,1,120,683
4,6,6,1,168,851
5,3,6,1,69,920
6,4,6,,0,920
7,4,6,,0,920
8,3,6,,0,920
9,3,6,,0,920
10,2,6,,0,920
11,2,6,,0,920
