party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,8,0,1,240,720
3,6,0,1,168,888
4,5,0,1,120,1008
5,3,0,1,69,1077
6,3,0,,0,1077
7,4,0,,0,1077
8,4,0,,0,1077
9,2,0,,0,1077
0,7,1,1,203,203
1,8,1,1,240,443
2,7,1,1,203,646
3,6,1,1,168,814
4,6,1,1,168,982
5,5,1,1,120,1102
6,5,1,,0,1102
7,3,1,,0,1102
8,4,1,,0,1102
9,4,1,,0,1102
10,2,1,,0,1102
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,6,2,1,168,777
4,6,2,1,168,945
5,3,2,1,69,1014
6,4,2,,0,1014
7,4,2,,0,1014
8,3,2,,0,1014
9,3,2,,0,1014
10,2,2,,0,1014
11,2,2,,0,1014
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,8,3,1,240,886
4,5,3,1,120,1006
5,5,3,,0,1006
6,3,3,1,69,1075
7,3,3,,0,1075
8,3,3,,0,1075
9,4,3,,0,1075
10,3,3,,0,1075
11,4,3,,0,1075
12,4,3,,0,1075
13,2,3,,0,1075
14,2,3,,0,1075
0,8,4,1,240,240
1,8,4,1,240,480
2,8,4,1,240,720
3,7,4,1,203,923
4,8,4,1,240,1163
5,6,4,,0,1163
6,5,4,,0,1163
7,6,4,,0,1163
8,6,4,,0,1163
9,5,4,,0,1163
10,6,4,,0,1163
11,3,4,,0,1163
12,3,4,,0,1163
13,4,4,,0,1163
14,3,4,,0,1163
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,8,5,1,240,849
4,5,5,1,120,969
5,5,5,,0,969
6,5,5,,0,969
7,3,5,1,69,1038
8,4,5,,0,1038
9,3,5,,0,1038
10,3,5,,0,1038
11,4,5,,0,1038
12,4,5,,0,1038
13,4,5,,0,1038
14,2,5,,0,1038
0,8,6,1,240,240
1,5,6,1,120,360
2,6,6,1,168,528
3,5,6,1,120,648
4,3,6,1,69,717
5,3,6,1,69,786
6,4,6,1,104,890
7,3,6,,0,890
8,4,6,,0,890
9,2,6,,0,890
10,2,6,,0,890
