party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,360,600
2,4,0,1,160,760
3,4,0,1,160,920
4,3,0,1,69,989
5,3,0,1,69,1058
6,2,0,1,70,1128
7,2,0,1,70,1198
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,6,1,1,360,1080
4,6,1,1,360,1440
5,5,1,1,120,1560
6,4,1,,0,1560
7,3,1,,0,1560
8,3,1,,0,1560
9,4,1,,0,1560
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,7,2,1,203,849
4,6,2,1,360,1209
5,6,2,,0,1209
6,6,2,,0,1209
7,6,2,,0,1209
8,4,2,1,160,1369
9,3,2,,0,1369
10,4,2,,0,1369
11,2,2,,0,1369
12,2,2,,0,1369
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,7,3,1,203,886
4,5,3,1,120,1006
5,5,3,,0,1006
6,5,3,,0,1006
7,4,3,1,160,1166
8,4,3,,0,1166
9,3,3,,0,1166
10,4,3,,0,1166
11,4,3,,0,1166
12,4,3,,0,1166
13,2,3,,0,1166
14,2,3,,0,1166
0,8,4,1,240,240
1,7,4,1,203,443
2,8,4,1,240,683
3,7,4,1,203,886
4,5,4,1,120,1006
5,5,4,,0,1006
6,5,4,,0,1006
7,6,4,,0,1006
8,3,4,1,69,1075
9,3,4,,0,1075
10,3,4,,0,1075
11,4,4,,0,1075
12,3,4,,0,1075
13,2,4,,0,1075
14,2,4,,0,1075
15,2,4,,0,1075
0,8,5,1,240,240
1,8,5,1,240,480
2,6,5,1,360,840
3,6,5,1,360,1200
4,5,5,1,120,1320
5,3,5,1,69,1389
6,4,5,,0,1389
7,4,5,,0,1389
8,3,5,,0,1389
9,3,5,,0,1389
10,3,5,,0,1389
11,2,5,,0,1389
12,2,5,,0,1389
13,2,5,,0,1389
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,6,6,1,360,1043
4,6,6,1,360,1403
5,5,6,1,120,1523
6,4,6,,0,1523
7,4,6,,0,1523
8,3,6,,0,1523
9,4,6,,0,1523
10,4,6,,0,1523
11,2,6,,0,1523
