party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,7,0,1,203,683
3,7,0,1,203,886
4,5,0,1,120,1006
5,5,0,,0,1006
6,4,0,1,160,1166
7,2,0,,0,1166
8,2,0,,0,1166
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,7,1,1,203,849
4,6,1,1,360,1209
5,6,1,,0,1209
6,4,1,1,160,1369
7,3,1,,0,1369
8,4,1,,0,1369
9,2,1,,0,1369
0,8,2,1,240,240
1,8,2,1,240,480
2,6,2,1,360,840
3,5,2,1,120,960
4,5,2,1,120,1080
5,5,2,1,120,1200
6,4,2,,0,1200
7,4,2,,0,1200
8,3,2,,0,1200
9,3,2,,0,1200
10,3,2,,0,1200
11,3,2,,0,1200
12,2,2,,0,1200
13,2,2,,0,1200
0,8,3,1,240,240
1,7,3,1,203,443
2,8,3,1,240,683
3,8,3,1,240,923
4,7,3,1,203,1126
5,5,3,,0,1126
6,6,3,,0,1126
7,6,3,,0,1126
8,3,3,,0,1126
9,3,3,,0,1126
10,3,3,,0,1126
11,4,3,,0,1126
12,3,3,,0,1126
13,2,3,1,70,1196
14,2,3,,0,1196
15,2,3,,0,1196
0,7,4,1,203,203
1,8,4,1,240,443
2,6,4,1,360,803
3,5,4,1,120,923
4,5,4,1,120,1043
5,5,4,1,120,1163
6,3,4,,0,1163
7,3,4,,0,1163
8,4,4,,0,1163
9,3,4,,0,1163
10,3,4,,0,1163
11,3,4,,0,1163
12,2,4,,0,1163
13,2,4,,0,1163
14,2,4,,0,1163
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,7,5,1,203,812
4,5,5,1,120,932
5,5,5,,0,932
6,5,5,,0,932
7,5,5,,0,932
8,5,5,,0,932
9,4,5,1,160,1092
10,2,5,,0,1092
11,2,5,,0,1092
12,2,5,,0,1092
13,2,5,,0,1092
14,2,5,,0,1092
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,6,6,1,360,1043
4,4,6,1,160,1203
5,3,6,1,69,1272
6,4,6,,0,1272
7,4,6,,0,1272
8,2,6,,0,1272
9,2,6,,0,1272
