party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,5,0,1,120,526
3,4,0,1,160,686
4,4,0,1,160,846
5,3,0,1,69,915
6,4,0,1,160,1075
7,2,0,,0,1075
8,2,0,,0,1075
0,7,1,1,203,203
1,7,1,1,203,406
2,5,1,1,120,526
3,6,1,1,360,886
4,5,1,1,120,1006
5,6,1,1,360,1366
6,3,1,,0,1366
7,4,1,,0,1366
8,2,1,,0,1366
9,2,1,,0,1366
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,7,2,1,203,812
4,6,2,1,360,1172
5,5,2,,0,1172
6,5,2,,0,1172
7,5,2,,0,1172
8,6,2,,0,1172
9,5,2,,0,1172
10,4,2,1,160,1332
11,2,2,,0,1332
12,2,2,,0,1332
13,2,2,,0,1332
0,7,3,1,203,203
1,5,3,1,120,323
2,5,3,1,120,443
3,6,3,1,360,803
4,5,3,1,120,923
5,6,3,1,360,1283
6,3,3,,0,1283
7,3,3,,0,1283
8,3,3,,0,1283
9,3,3,,0,1283
10,2,3,,0,1283
11,2,3,,0,1283
12,2,3,,0,1283
13,2,3,,0,1283
0,8,4,1,240,240
1,7,4,1,203,443
2,8,4,1,240,683
3,7,4,1,203,886
4,6,4,1,360,1246
5,5,4,,0,1246
6,4,4,1,160,1406
7,3,4,,0,1406
8,3,4,,0,1406
9,3,4,,0,1406
10,3,4,,0,1406
11,2,4,,0,1406
12,2,4,,0,1406
13,2,4,,0,1406
14,2,4,,0,1406
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,8,5,1,240,923
4,8,5,1,240,1163
5,8,5,,0,1163
6,7,5,,0,1163
7,7,5,,0,1163
8,8,5,,0,1163
9,5,5,,0,1163
10,4,5,,0,1163
11,4,5,,0,1163
12,3,5,,0,1163
13,4,5,,0,1163
14,3,5,,0,1163
0,7,6,1,203,203
1,7,6,1,203,406
2,6,6,1,360,766
3,4,6,1,160,926
4,4,6,1,160,1086
5,3,6,1,69,1155
6,3,6,1,69,1224
7,2,6,,0,1224
8,2,6,,0,1224
9,2,6,,0,1224
