party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,6,0,1,168,851
4,6,0,1,168,1019
5,6,0,1,168,1187
6,5,0,,0,1187
7,5,0,,0,1187
8,4,0,,0,1187
9,2,0,,0,1187
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,6,1,1,168,777
4,5,1,1,120,897
5,6,1,1,168,1065
6,6,1,,0,1065
7,5,1,,0,1065
8,3,1,,0,1065
9,3,1,,0,1065
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,7,2,1,203,812
4,8,2,1,240,1052
5,5,2,,0,1052
6,5,2,,0,1052
7,6,2,,0,1052
8,3,2,,0,1052
9,3,2,,0,1052
10,4,2,,0,1052
11,3,2,,0,1052
12,2,2,1,52,1104
0,7,3,1,203,203
1,7,3,1,203,406
2,5,3,1,120,526
3,5,3,1,120,646
4,6,3,1,168,814
5,6,3,1,168,982
6,6,3,,0,982
7,6,3,,0,982
8,6,3,,0,982
9,6,3,,0,982
10,3,3,,0,982
11,4,3,,0,982
12,4,3,,0,982
13,2,3,,0,982
14,2,3,,0,982
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,7,4,1,203,849
4,7,4,1,203,1052
5,6,4,,0,1052
6,6,4,,0,1052
7,3,4,,0,1052
8,4,4,,0,1052
9,4,4,,0,1052
10,4,4,,0,1052
11,4,4,,0,1052
12,2,4,1,52,1104
13,2,4,,0,1104
14,2,4,,0,1104
15,2,4,,0,1104
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,6,5,1,168,888
4,5,5,1,120,1008
5,5,5,1,120,1128
6,5,5,,0,1128
7,3,5,,0,1128
8,3,5,,0,1128
9,3,5,,0,1128
10,4,5,,0,1128
11,3,5,,0,1128
12,3,5,,0,1128
13,2,5,,0,1128
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,7,6,1,203,886
4,6,6,1,168,1054
5,5,6,,0,1054
6,5,6,,0,1054
7,4,6,1,104,1158
8,3,6,,0,1158
9,4,6,,0,1158
10,2,6,,0,1158
11,2,6,,0,1158
