party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,5,0,1,120,563
3,6,0,1,168,731
4,3,0,1,69,800
5,2,0,1,52,852
6,2,0,1,52,904
7,2,0,,0,904
8,2,0,,0,904
0,8,1,1,240,240
1,5,1,1,120,360
2,6,1,1,168,528
3,6,1,1,168,696
4,5,1,1,120,816
5,4,1,1,104,920
6,4,1,,0,920
7,3,1,,0,920
8,4,1,,0,920
9,2,1,1,52,972
10,2,1,,0,972
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,5,2,1,120,803
4,6,2,1,168,971
5,5,2,1,120,1091
6,6,2,,0,1091
7,3,2,,0,1091
8,3,2,,0,1091
9,4,2,,0,1091
10,3,2,,0,1091
11,2,2,,0,1091
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,5,3,1,120,1006
5,6,3,,0,1006
6,5,3,,0,1006
7,4,3,1,104,1110
8,3,3,,0,1110
9,3,3,,0,1110
10,4,3,,0,1110
11,3,3,,0,1110
12,3,3,,0,1110
13,2,3,,0,1110
0,7,4,1,203,203
1,8,4,1,240,443
2,8,4,1,240,683
3,7,4,1,203,886
4,6,4,1,168,1054
5,6,4,,0,1054
6,6,4,,0,1054
7,6,4,,0,1054
8,6,4,,0,1054
9,6,4,,0,1054
10,5,4,,0,1054
11,3,4,1,69,1123
12,4,4,,0,1123
13,4,4,,0,1123
0,7,5,1,203,203
1,7,5,1,203,406
2,5,5,1,120,526
3,6,5,1,168,694
4,6,5,1,168,862
5,4,5,1,104,966
6,4,5,,0,966
7,3,5,,0,966
8,4,5,,0,966
9,3,5,,0,966
10,2,5,,0,966
11,2,5,,0,966
12,2,5,,0,966
13,2,5,,0,966
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,8,6,1,240,923
4,6,6,1,168,1091
5,5,6,,0,1091
6,6,6,,0,1091
7,4,6,1,104,1195
8,3,6,,0,1195
9,4,6,,0,1195
10,3,6,,0,1195
11,2,6,,0,1195
