party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,5,0,1,120,528
3,5,0,1,120,648
4,6,0,1,168,816
5,3,0,1,69,885
6,2,0,1,52,937
7,2,0,,0,937
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,8,1,1,240,960
4,5,1,1,120,1080
5,6,1,,0,1080
6,3,1,1,69,1149
7,3,1,,0,1149
8,2,1,,0,1149
9,2,1,,0,1149
0,7,2,1,203,203
1,8,2,1,240,443
2,5,2,1,120,563
3,6,2,1,168,731
4,6,2,1,168,899
5,5,2,1,120,1019
6,6,2,,0,1019
7,6,2,,0,1019
8,4,2,,0,1019
9,3,2,,0,1019
10,2,2,,0,1019
11,2,2,,0,1019
12,2,2,,0,1019
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,7,3,1,203,886
4,7,3,1,203,1089
5,5,3,,0,1089
6,6,3,,0,1089
7,3,3,,0,1089
8,4,3,,0,1089
9,3,3,,0,1089
10,2,3,1,52,1141
11,2,3,,0,1141
12,2,3,,0,1141
13,2,3,,0,1141
14,2,3,,0,1141
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,7,4,1,203,849
4,8,4,1,240,1089
5,8,4,,0,1089
6,7,4,,0,1089
7,5,4,,0,1089
8,5,4,,0,1089
9,5,4,,0,1089
10,5,4,,0,1089
11,3,4,,0,1089
12,4,4,,0,1089
13,4,4,,0,1089
14,2,4,1,52,1141
15,2,4,,0,1141
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,6,5,1,168,1091
5,6,5,,0,1091
6,5,5,,0,1091
7,6,5,,0,1091
8,6,5,,0,1091
9,3,5,1,69,1160
10,3,5,,0,1160
11,4,5,,0,1160
12,3,5,,0,1160
13,2,5,,0,1160
14,2,5,,0,1160
0,8,6,1,240,240
1,7,6,1,203,443
2,6,6,1,168,611
3,5,6,1,120,731
4,5,6,1,120,851
5,6,6,1,168,1019
6,3,6,,0,1019
7,2,6,,0,1019
8,2,6,,0,1019
9,2,6,,0,1019
