party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,5,0,1,120,526
3,3,0,1,69,595
4,4,0,1,160,755
5,3,0,1,69,824
6,4,0,1,160,984
7,3,0,,0,984
8,2,0,,0,984
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,5,1,1,120,766
4,5,1,1,120,886
5,6,1,1,360,1246
6,6,1,,0,1246
7,5,1,,0,1246
8,4,1,,0,1246
9,2,1,,0,1246
10,2,1,,0,1246
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,5,2,1,120,766
4,5,2,1,120,886
5,6,2,1,360,1246
6,4,2,,0,1246
7,4,2,,0,1246
8,4,2,,0,1246
9,4,2,,0,1246
10,2,2,,0,1246
11,2,2,,0,1246
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,7,3,1,203,812
4,7,3,1,203,1015
5,5,3,,0,1015
6,5,3,,0,1015
7,5,3,,0,1015
8,4,3,,0,1015
9,4,3,,0,1015
10,3,3,,0,1015
11,4,3,,0,1015
12,3,3,,0,1015
13,4,3,,0,1015
0,8,4,1,240,240
1,8,4,1,240,480
2,5,4,1,120,600
3,5,4,1,120,720
4,5,4,1,120,840
5,6,4,1,360,1200
6,5,4,,0,1200
7,6,4,,0,1200
8,6,4,,0,1200
9,3,4,,0,1200
10,4,4,,0,1200
11,3,4,,0,1200
12,4,4,,0,1200
13,2,4,,0,1200
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,7,5,1,203,923
4,8,5,1,240,1163
5,7,5,,0,1163
6,5,5,,0,1163
7,5,5,,0,1163
8,6,5,,0,1163
9,6,5,,0,1163
10,4,5,,0,1163
11,3,5,,0,1163
12,4,5,,0,1163
13,2,5,1,70,1233
0,7,6,1,203,203
1,8,6,1,240,443
2,7,6,1,203,646
3,7,6,1,203,849
4,7,6,1,203,1052
5,5,6,,0,1052
6,6,6,,0,1052
7,4,6,,0,1052
8,4,6,,0,1052
9,2,6,1,70,1122
10,2,6,,0,1122
11,2,6,,0,1122
