party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,7,0,1,203,646
3,8,0,1,240,886
4,6,0,1,168,1054
5,5,0,,0,1054
6,3,0,1,69,1123
7,3,0,,0,1123
8,2,0,,0,1123
9,2,0,,0,1123
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,8,1,1,240,923
4,8,1,1,240,1163
5,8,1,,0,1163
6,6,1,,0,1163
7,5,1,,0,1163
8,5,1,,0,1163
9,6,1,,0,1163
10,4,1,,0,1163
11,2,1,1,52,1215
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,8,2,1,240,923
4,8,2,1,240,1163
5,6,2,,0,1163
6,4,2,,0,1163
7,4,2,,0,1163
8,4,2,,0,1163
9,3,2,,0,1163
10,4,2,,0,1163
11,3,2,,0,1163
12,4,2,,0,1163
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,6,3,1,168,814
4,6,3,1,168,982
5,4,3,1,104,1086
6,3,3,,0,1086
7,3,3,,0,1086
8,3,3,,0,1086
9,4,3,,0,1086
10,2,3,,0,1086
11,2,3,,0,1086
12,2,3,,0,1086
13,2,3,,0,1086
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,7,4,1,203,812
4,7,4,1,203,1015
5,5,4,,0,1015
6,5,4,,0,1015
7,5,4,,0,1015
8,5,4,,0,1015
9,3,4,,0,1015
10,4,4,,0,1015
11,4,4,,0,1015
12,4,4,,0,1015
13,3,4,,0,1015
14,2,4,1,52,1067
15,2,4,,0,1067
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,8,5,1,240,886
4,6,5,1,168,1054
5,6,5,,0,1054
6,5,5,,0,1054
7,3,5,1,69,1123
8,3,5,,0,1123
9,4,5,,0,1123
10,2,5,,0,1123
11,2,5,,0,1123
12,2,5,,0,1123
13,2,5,,0,1123
0,7,6,1,203,203
1,7,6,1,203,406
2,7,6,1,203,609
3,8,6,1,240,849
4,5,6,1,120,969
5,5,6,,0,969
6,5,6,,0,969
7,6,6,,0,969
8,4,6,1,104,1073
9,3,6,,0,1073
10,2,6,,0,1073
