party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,6,0,1,168,648
3,3,0,1,69,717
4,4,0,1,104,821
5,4,0,1,104,925
6,4,0,1,104,1029
7,2,0,,0,1029
8,2,0,,0,1029
0,6,1,1,168,168
1,5,1,1,120,288
2,5,1,1,120,408
3,3,1,1,69,477
4,3,1,1,69,546
5,3,1,1,69,615
6,3,1,1,69,684
7,4,1,,0,684
8,2,1,,0,684
9,2,1,,0,684
10,2,1,,0,684
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,7,2,1,203,886
4,6,2,1,168,1054
5,5,2,,0,1054
6,5,2,,0,1054
7,6,2,,0,1054
8,5,2,,0,1054
9,3,2,1,69,1123
10,3,2,,0,1123
11,3,2,,0,1123
12,4,2,,0,1123
13,2,2,,0,1123
0,7,3,1,203,203
1,7,3,1,203,406
2,8,3,1,240,646
3,7,3,1,203,849
4,8,3,1,240,1089
5,6,3,,0,1089
6,5,3,,0,1089
7,4,3,,0,1089
8,4,3,,0,1089
9,3,3,,0,1089
10,3,3,,0,1089
11,3,3,,0,1089
12,2,3,1,52,1141
13,2,3,,0,1141
14,2,3,,0,1141
15,2,3,,0,1141
0,7,4,1,203,203
1,8,4,1,240,443
2,8,4,1,240,683
3,7,4,1,203,886
4,7,4,1,203,1089
5,6,4,,0,1089
6,5,4,,0,1089
7,6,4,,0,1089
8,5,4,,0,1089
9,5,4,,0,1089
10,6,4,,0,1089
11,6,4,,0,1089
12,5,4,,0,1089
13,4,4,,0,1089
14,2,4,1,52,1141
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,7,5,1,203,849
4,7,5,1,203,1052
5,5,5,,0,1052
6,6,5,,0,1052
7,5,5,,0,1052
8,4,5,,0,1052
9,4,5,,0,1052
10,3,5,,0,1052
11,4,5,,0,1052
12,3,5,,0,1052
13,2,5,1,52,1104
14,2,5,,0,1104
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,8,6,1,240,923
4,6,6,1,168,1091
5,6,6,,0,1091
6,3,6,1,69,1160
7,4,6,,0,1160
8,2,6,,0,1160
9,2,6,,0,1160
10,2,6,,0,1160
