party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,7,0,1,203,683
3,5,0,1,120,803
4,6,0,1,360,1163
5,6,0,1,360,1523
6,3,0,,0,1523
7,2,0,,0,1523
8,2,0,,0,1523
0,8,1,1,240,240
1,8,1,1,240,480
2,6,1,1,360,840
3,5,1,1,120,960
4,4,1,1,160,1120
5,3,1,1,69,1189
6,4,1,,0,1189
7,4,1,,0,1189
8,3,1,,0,1189
9,2,1,1,70,1259
10,2,1,,0,1259
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,7,2,1,203,886
4,8,2,1,240,1126
5,7,2,,0,1126
6,5,2,,0,1126
7,5,2,,0,1126
8,5,2,,0,1126
9,5,2,,0,1126
10,3,2,,0,1126
11,2,2,1,70,1196
0,8,3,1,240,240
1,8,3,1,240,480
2,6,3,1,360,840
3,5,3,1,120,960
4,6,3,1,360,1320
5,5,3,1,120,1440
6,6,3,,0,1440
7,3,3,,0,1440
8,4,3,,0,1440
9,3,3,,0,1440
10,4,3,,0,1440
11,4,3,,0,1440
12,4,3,,0,1440
13,2,3,,0,1440
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,7,4,1,203,812
4,8,4,1,240,1052
5,7,4,,0,1052
6,7,4,,0,1052
7,7,4,,0,1052
8,5,4,,0,1052
9,6,4,,0,1052
10,5,4,,0,1052
11,6,4,,0,1052
12,4,4,,0,1052
13,3,4,,0,1052
0,7,5,1,203,203
1,8,5,1,240,443
2,8,5,1,240,683
3,7,5,1,203,886
4,7,5,1,203,1089
5,7,5,,0,1089
6,6,5,,0,1089
7,6,5,,0,1089
8,5,5,,0,1089
9,6,5,,0,1089
10,3,5,,0,1089
11,4,5,,0,1089
12,4,5,,0,1089
13,2,5,1,70,1159
0,7,6,1,203,203
1,8,6,1,240,443
2,7,6,1,203,646
3,6,6,1,360,1006
4,3,6,1,69,1075
5,3,6,1,69,1144
6,3,6,,0,1144
7,4,6,,0,1144
8,4,6,,0,1144
9,2,6,,0,1144
10,2,6,,0,1144
