party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,4,0,1,88,496
3,3,0,1,69,565
4,3,0,1,69,634
5,3,0,1,69,703
6,3,0,1,69,772
7,4,0,,0,772
8,2,0,,0,772
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,8,1,1,240,849
4,7,1,1,203,1052
5,5,1,,0,1052
6,4,1,,0,1052
7,4,1,,0,1052
8,3,1,,0,1052
9,3,1,,0,1052
10,2,1,1,70,1122
0,7,2,1,203,203
1,7,2,1,203,406
2,5,2,1,120,526
3,6,2,1,168,694
4,6,2,1,168,862
5,5,2,1,120,982
6,6,2,,0,982
7,3,2,,0,982
8,2,2,,0,982
9,2,2,,0,982
10,2,2,,0,982
11,2,2,,0,982
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,8,3,1,240,849
4,8,3,1,240,1089
5,8,3,,0,1089
6,6,3,,0,1089
7,5,3,,0,1089
8,4,3,,0,1089
9,4,3,,0,1089
10,4,3,,0,1089
11,3,3,,0,1089
12,3,3,,0,1089
13,2,3,1,70,1159
14,2,3,,0,1159
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,8,4,1,240,849
4,5,4,1,120,969
5,6,4,,0,969
6,6,4,,0,969
7,6,4,,0,969
8,6,4,,0,969
9,4,4,1,88,1057
10,3,4,,0,1057
11,4,4,,0,1057
12,4,4,,0,1057
13,2,4,,0,1057
14,2,4,,0,1057
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,7,5,1,203,849
4,7,5,1,203,1052
5,5,5,,0,1052
6,6,5,,0,1052
7,5,5,,0,1052
8,6,5,,0,1052
9,5,5,,0,1052
10,4,5,,0,1052
11,4,5,,0,1052
12,4,5,,0,1052
13,2,5,1,70,1122
0,8,6,1,240,240
1,8,6,1,240,480
2,6,6,1,168,648
3,5,6,1,120,768
4,5,6,1,120,888
5,6,6,1,168,1056
6,5,6,,0,1056
7,4,6,,0,1056
8,4,6,,0,1056
9,3,6,,0,1056
10,2,6,,0,1056
