party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,7,0,1,203,609
3,8,0,1,240,849
4,7,0,1,203,1052
5,6,0,,0,1052
6,5,0,,0,1052
7,3,0,,0,1052
8,2,0,1,52,1104
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,8,1,1,240,960
4,5,1,1,120,1080
5,6,1,,0,1080
6,6,1,,0,1080
7,5,1,,0,1080
8,5,1,,0,1080
9,4,1,1,104,1184
10,4,1,,0,1184
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,8,2,1,240,923
4,6,2,1,168,1091
5,6,2,,0,1091
6,6,2,,0,1091
7,6,2,,0,1091
8,3,2,1,69,1160
9,3,2,,0,1160
10,3,2,,0,1160
11,2,2,,0,1160
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,6,3,1,168,851
4,6,3,1,168,1019
5,6,3,1,168,1187
6,5,3,,0,1187
7,4,3,,0,1187
8,4,3,,0,1187
9,4,3,,0,1187
10,4,3,,0,1187
11,3,3,,0,1187
12,3,3,,0,1187
13,3,3,,0,1187
14,2,3,,0,1187
15,2,3,,0,1187
0,8,4,1,240,240
1,7,4,1,203,443
2,8,4,1,240,683
3,7,4,1,203,886
4,8,4,1,240,1126
5,6,4,,0,1126
6,5,4,,0,1126
7,6,4,,0,1126
8,6,4,,0,1126
9,5,4,,0,1126
10,6,4,,0,1126
11,3,4,,0,1126
12,4,4,,0,1126
13,4,4,,0,1126
14,4,4,,0,1126
15,2,4,1,52,1178
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,6,5,1,168,851
4,5,5,1,120,971
5,4,5,1,104,1075
6,4,5,,0,1075
7,4,5,,0,1075
8,3,5,,0,1075
9,3,5,,0,1075
10,2,5,,0,1075
11,2,5,,0,1075
12,2,5,,0,1075
13,2,5,,0,1075
14,2,5,,0,1075
0,7,6,1,203,203
1,7,6,1,203,406
2,7,6,1,203,609
3,8,6,1,240,849
4,6,6,1,168,1017
5,5,6,,0,1017
6,5,6,,0,1017
7,5,6,,0,1017
8,3,6,1,69,1086
9,3,6,,0,1086
