party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,7,0,1,203,646
3,8,0,1,240,886
4,6,0,1,168,1054
5,6,0,,0,1054
6,5,0,,0,1054
7,5,0,,0,1054
8,3,0,1,69,1123
9,3,0,,0,1123
0,7,1,1,203,203
1,8,1,1,240,443
2,7,1,1,203,646
3,8,1,1,240,886
4,6,1,1,168,1054
5,5,1,,0,1054
6,4,1,1,104,1158
7,2,1,,0,1158
8,2,1,,0,1158
9,2,1,,0,1158
0,7,2,1,203,203
1,8,2,1,240,443
2,6,2,1,168,611
3,6,2,1,168,779
4,6,2,1,168,947
5,6,2,1,168,1115
6,6,2,,0,1115
7,4,2,,0,1115
8,4,2,,0,1115
9,2,2,,0,1115
10,2,2,,0,1115
11,2,2,,0,1115
0,7,3,1,203,203
1,8,3,1,240,443
2,6,3,1,168,611
3,6,3,1,168,779
4,5,3,1,120,899
5,5,3,1,120,1019
6,6,3,,0,1019
7,6,3,,0,1019
8,5,3,,0,1019
9,6,3,,0,1019
10,5,3,,0,1019
11,6,3,,0,1019
12,4,3,,0,1019
13,4,3,,0,1019
14,3,3,,0,1019
15,2,3,,0,1019
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,8,4,1,240,886
4,6,4,1,168,1054
5,6,4,,0,1054
6,6,4,,0,1054
7,5,4,,0,1054
8,3,4,1,69,1123
9,3,4,,0,1123
10,3,4,,0,1123
11,4,4,,0,1123
12,3,4,,0,1123
13,4,4,,0,1123
14,2,4,,0,1123
0,7,5,1,203,203
1,8,5,1,240,443
2,8,5,1,240,683
3,7,5,1,203,886
4,5,5,1,120,1006
5,5,5,,0,1006
6,5,5,,0,1006
7,6,5,,0,1006
8,6,5,,0,1006
9,5,5,,0,1006
10,6,5,,0,1006
11,6,5,,0,1006
12,4,5,1,104,1110
13,4,5,,0,1110
14,2,5,,0,1110
0,8,6,1,240,240
1,7,6,1,203,443
2,8,6,1,240,683
3,5,6,1,120,803
4,6,6,1,168,971
5,5,6,1,120,1091
6,5,6,,0,1091
7,6,6,,0,1091
8,6,6,,0,1091
9,3,6,,0,1091
10,3,6,,0,1091
11,3,6,,0,1091
