party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,8,0,1,240,683
3,8,0,1,240,923
4,3,0,1,69,992
5,3,0,1,69,1061
6,4,0,,0,1061
7,2,0,,0,1061
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,7,1,1,203,886
4,5,1,1,120,1006
5,6,1,,0,1006
6,4,1,1,160,1166
7,3,1,,0,1166
8,4,1,,0,1166
9,2,1,,0,1166
10,2,1,,0,1166
0,7,2,1,203,203
1,7,2,1,203,406
2,6,2,1,360,766
3,5,2,1,120,886
4,5,2,1,120,1006
5,4,2,1,160,1166
6,3,2,,0,1166
7,4,2,,0,1166
8,4,2,,0,1166
9,4,2,,0,1166
10,2,2,,0,1166
11,2,2,,0,1166
0,7,3,1,203,203
1,7,3,1,203,406
2,8,3,1,240,646
3,6,3,1,360,1006
4,5,3,1,120,1126
5,5,3,1,120,1246
6,5,3,,0,1246
7,6,3,,0,1246
8,4,3,,0,1246
9,3,3,,0,1246
10,4,3,,0,1246
11,4,3,,0,1246
12,3,3,,0,1246
13,2,3,,0,1246
14,2,3,,0,1246
15,2,3,,0,1246
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,8,4,1,240,886
4,5,4,1,120,1006
5,6,4,,0,1006
6,5,4,,0,1006
7,4,4,1,160,1166
8,4,4,,0,1166
9,3,4,,0,1166
10,3,4,,0,1166
11,3,4,,0,1166
12,3,4,,0,1166
13,4,4,,0,1166
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,8,5,1,240,923
4,8,5,1,240,1163
5,8,5,,0,1163
6,6,5,,0,1163
7,5,5,,0,1163
8,5,5,,0,1163
9,5,5,,0,1163
10,4,5,,0,1163
11,4,5,,0,1163
12,3,5,,0,1163
13,4,5,,0,1163
14,2,5,1,70,1233
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,7,6,1,203,886
4,7,6,1,203,1089
5,8,6,,0,1089
6,6,6,,0,1089
7,6,6,,0,1089
8,3,6,,0,1089
9,3,6,,0,1089
10,2,6,1,70,1159
11,2,6,,0,1159
