party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,6,0,1,168,576
3,5,0,1,120,696
4,4,0,1,104,800
5,2,0,1,52,852
6,2,0,1,52,904
7,2,0,,0,904
8,2,0,,0,904
0,7,1,1,203,203
1,7,1,1,203,406
2,5,1,1,120,526
3,5,1,1,120,646
4,5,1,1,120,766
5,5,1,1,120,886
6,4,1,,0,886
7,3,1,,0,886
8,4,1,,0,886
9,4,1,,0,886
10,4,1,,0,886
11,2,1,,0,886
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,7,2,1,203,849
4,7,2,1,203,1052
5,8,2,,0,1052
6,6,2,,0,1052
7,6,2,,0,1052
8,4,2,,0,1052
9,4,2,,0,1052
10,4,2,,0,1052
11,4,2,,0,1052
0,7,3,1,203,203
1,7,3,1,203,406
2,5,3,1,120,526
3,6,3,1,168,694
4,5,3,1,120,814
5,4,3,1,104,918
6,3,3,,0,918
7,3,3,,0,918
8,3,3,,0,918
9,2,3,,0,918
10,2,3,,0,918
11,2,3,,0,918
12,2,3,,0,918
13,2,3,,0,918
0,8,4,1,240,240
1,7,4,1,203,443
2,6,4,1,168,611
3,6,4,1,168,779
4,6,4,1,168,947
5,6,4,1,168,1115
6,5,4,,0,1115
7,5,4,,0,1115
8,6,4,,0,1115
9,4,4,,0,1115
10,3,4,,0,1115
11,3,4,,0,1115
12,3,4,,0,1115
13,4,4,,0,1115
14,2,4,,0,1115
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,6,5,1,168,1091
5,5,5,,0,1091
6,3,5,1,69,1160
7,4,5,,0,1160
8,3,5,,0,1160
9,3,5,,0,1160
10,4,5,,0,1160
11,3,5,,0,1160
12,2,5,,0,1160
13,2,5,,0,1160
14,2,5,,0,1160
0,8,6,1,240,240
1,6,6,1,168,408
2,5,6,1,120,528
3,6,6,1,168,696
4,5,6,1,120,816
5,6,6,1,168,984
6,5,6,,0,984
7,6,6,,0,984
8,3,6,,0,984
9,2,6,,0,984
