party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,8,0,1,240,683
3,6,0,1,168,851
4,6,0,1,168,1019
5,6,0,1,168,1187
6,5,0,,0,1187
7,5,0,,0,1187
8,4,0,,0,1187
9,3,0,,0,1187
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,7,1,1,203,886
4,4,1,1,104,990
5,4,1,1,104,1094
6,3,1,,0,1094
7,4,1,,0,1094
8,3,1,,0,1094
9,4,1,,0,1094
10,2,1,,0,1094
11,2,1,,0,1094
0,5,2,1,120,120
1,5,2,1,120,240
2,6,2,1,168,408
3,5,2,1,120,528
4,6,2,1,168,696
5,4,2,1,104,800
6,3,2,1,69,869
7,3,2,,0,869
8,4,2,,0,869
9,2,2,,0,869
10,2,2,,0,869
11,2,2,,0,869
12,2,2,,0,869
13,2,2,,0,869
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,7,3,1,203,849
4,8,3,1,240,1089
5,8,3,,0,1089
6,8,3,,0,1089
7,5,3,,0,1089
8,5,3,,0,1089
9,5,3,,0,1089
10,6,3,,0,1089
11,4,3,,0,1089
12,2,3,1,52,1141
13,2,3,,0,1141
0,8,4,1,240,240
1,8,4,1,240,480
2,8,4,1,240,720
3,7,4,1,203,923
4,8,4,1,240,1163
5,7,4,,0,1163
6,6,4,,0,1163
7,5,4,,0,1163
8,6,4,,0,1163
9,3,4,,0,1163
10,4,4,,0,1163
11,3,4,,0,1163
12,2,4,1,52,1215
13,2,4,,0,1215
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,6,5,1,168,777
4,5,5,1,120,897
5,6,5,1,168,1065
6,5,5,,0,1065
7,5,5,,0,1065
8,6,5,,0,1065
9,3,5,,0,1065
10,3,5,,0,1065
11,4,5,,0,1065
12,3,5,,0,1065
13,3,5,,0,1065
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,7,6,1,203,886
4,7,6,1,203,1089
5,5,6,,0,1089
6,5,6,,0,1089
7,6,6,,0,1089
8,6,6,,0,1089
9,2,6,1,52,1141
