party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,6,0,1,360,803
3,6,0,1,360,1163
4,6,0,1,360,1523
5,4,0,1,160,1683
6,3,0,,0,1683
7,2,0,,0,1683
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,7,1,1,203,886
4,8,1,1,240,1126
5,7,1,,0,1126
6,5,1,,0,1126
7,6,1,,0,1126
8,2,1,1,70,1196
9,2,1,,0,1196
10,2,1,,0,1196
0,7,2,1,203,203
1,5,2,1,120,323
2,6,2,1,360,683
3,5,2,1,120,803
4,6,2,1,360,1163
5,6,2,1,360,1523
6,4,2,,0,1523
7,3,2,,0,1523
8,3,2,,0,1523
9,4,2,,0,1523
10,3,2,,0,1523
11,2,2,,0,1523
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,8,3,1,240,923
4,7,3,1,203,1126
5,5,3,,0,1126
6,6,3,,0,1126
7,6,3,,0,1126
8,6,3,,0,1126
9,5,3,,0,1126
10,5,3,,0,1126
11,3,3,,0,1126
12,4,3,,0,1126
13,3,3,,0,1126
14,3,3,,0,1126
15,2,3,1,70,1196
0,8,4,1,240,240
1,8,4,1,240,480
2,8,4,1,240,720
3,6,4,1,360,1080
4,5,4,1,120,1200
5,5,4,1,120,1320
6,5,4,,0,1320
7,6,4,,0,1320
8,3,4,,0,1320
9,3,4,,0,1320
10,4,4,,0,1320
11,3,4,,0,1320
12,4,4,,0,1320
13,3,4,,0,1320
14,3,4,,0,1320
15,3,4,,0,1320
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,5,5,1,120,1043
5,4,5,1,160,1203
6,4,5,,0,1203
7,3,5,,0,1203
8,3,5,,0,1203
9,3,5,,0,1203
10,3,5,,0,1203
11,4,5,,0,1203
12,2,5,,0,1203
13,2,5,,0,1203
14,2,5,,0,1203
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,8,6,1,240,923
4,7,6,1,203,1126
5,5,6,,0,1126
6,5,6,,0,1126
7,4,6,,0,1126
8,3,6,,0,1126
9,3,6,,0,1126
10,2,6,1,70,1196
