party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,6,0,1,360,563
2,6,0,1,360,923
3,6,0,1,360,1283
4,3,0,1,69,1352
5,2,0,1,70,1422
6,2,0,1,70,1492
7,2,0,,0,1492
0,8,1,1,240,240
1,7,1,1,203,443
2,5,1,1,120,563
3,5,1,1,120,683
4,6,1,1,360,1043
5,6,1,1,360,1403
6,3,1,,0,1403
7,3,1,,0,1403
8,4,1,,0,1403
9,3,1,,0,1403
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,6,2,1,360,1043
4,6,2,1,360,1403
5,6,2,1,360,1763
6,6,2,,0,1763
7,5,2,,0,1763
8,3,2,,0,1763
9,4,2,,0,1763
10,2,2,,0,1763
11,2,2,,0,1763
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,7,3,1,203,886
4,7,3,1,203,1089
5,8,3,,0,1089
6,5,3,,0,1089
7,5,3,,0,1089
8,5,3,,0,1089
9,4,3,,0,1089
10,3,3,,0,1089
11,3,3,,0,1089
12,3,3,,0,1089
13,3,3,,0,1089
14,2,3,1,70,1159
15,2,3,,0,1159
0,8,4,1,240,240
1,7,4,1,203,443
2,7,4,1,203,646
3,7,4,1,203,849
4,8,4,1,240,1089
5,7,4,,0,1089
6,5,4,,0,1089
7,5,4,,0,1089
8,4,4,,0,1089
9,3,4,,0,1089
10,4,4,,0,1089
11,4,4,,0,1089
12,4,4,,0,1089
13,2,4,1,70,1159
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,5,5,1,120,840
4,5,5,1,120,960
5,5,5,1,120,1080
6,6,5,,0,1080
7,5,5,,0,1080
8,5,5,,0,1080
9,5,5,,0,1080
10,3,5,,0,1080
11,4,5,,0,1080
12,2,5,,0,1080
13,2,5,,0,1080
0,7,6,1,203,203
1,8,6,1,240,443
2,6,6,1,360,803
3,6,6,1,360,1163
4,5,6,1,120,1283
5,3,6,1,69,1352
6,4,6,,0,1352
7,3,6,,0,1352
8,2,6,,0,1352
9,2,6,,0,1352
