party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,5,0,1,120,120
1,6,0,1,360,480
2,6,0,1,360,840
3,6,0,1,360,1200
4,3,0,1,69,1269
5,4,0,1,160,1429
6,2,0,1,70,1499
7,2,0,,0,1499
8,2,0,,0,1499
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,5,1,1,120,729
4,5,1,1,120,849
5,4,1,1,160,1009
6,3,1,,0,1009
7,4,1,,0,1009
8,2,1,,0,1009
9,2,1,,0,1009
10,2,1,,0,1009
0,7,2,1,203,203
1,6,2,1,360,563
2,5,2,1,120,683
3,5,2,1,120,803
4,6,2,1,360,1163
5,6,2,1,360,1523
6,5,2,,0,1523
7,3,2,,0,1523
8,4,2,,0,1523
9,4,2,,0,1523
10,4,2,,0,1523
11,3,2,,0,1523
12,4,2,,0,1523
13,2,2,,0,1523
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,8,3,1,240,886
4,8,3,1,240,1126
5,7,3,,0,1126
6,6,3,,0,1126
7,3,3,,0,1126
8,3,3,,0,1126
9,3,3,,0,1126
10,4,3,,0,1126
11,4,3,,0,1126
12,4,3,,0,1126
13,2,3,1,70,1196
14,2,3,,0,1196
15,2,3,,0,1196
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,8,4,1,240,849
4,7,4,1,203,1052
5,8,4,,0,1052
6,7,4,,0,1052
7,7,4,,0,1052
8,5,4,,0,1052
9,6,4,,0,1052
10,3,4,,0,1052
11,4,4,,0,1052
12,2,4,1,70,1122
13,2,4,,0,1122
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,8,5,1,240,886
4,5,5,1,120,1006
5,6,5,,0,1006
6,5,5,,0,1006
7,6,5,,0,1006
8,6,5,,0,1006
9,6,5,,0,1006
10,4,5,1,160,1166
11,4,5,,0,1166
12,4,5,,0,1166
13,2,5,,0,1166
14,2,5,,0,1166
0,7,6,1,203,203
1,7,6,1,203,406
2,5,6,1,120,526
3,5,6,1,120,646
4,3,6,1,69,715
5,2,6,1,70,785
6,2,6,1,70,855
7,2,6,,0,855
8,2,6,,0,855
9,2,6,,0,855
