party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,6,0,1,168,851
4,4,0,1,104,955
5,3,0,1,69,1024
6,3,0,,0,1024
7,4,0,,0,1024
8,2,0,,0,1024
0,7,1,1,203,203
1,8,1,1,240,443
2,7,1,1,203,646
3,8,1,1,240,886
4,7,1,1,203,1089
5,6,1,,0,1089
6,6,1,,0,1089
7,5,1,,0,1089
8,5,1,,0,1089
9,4,1,,0,1089
10,4,1,,0,1089
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,8,2,1,240,886
4,8,2,1,240,1126
5,6,2,,0,1126
6,3,2,,0,1126
7,4,2,,0,1126
8,4,2,,0,1126
9,4,2,,0,1126
10,4,2,,0,1126
11,2,2,1,52,1178
12,2,2,,0,1178
13,2,2,,0,1178
0,7,3,1,203,203
1,5,3,1,120,323
2,6,3,1,168,491
3,5,3,1,120,611
4,6,3,1,168,779
5,6,3,1,168,947
6,4,3,,0,947
7,4,3,,0,947
8,4,3,,0,947
9,4,3,,0,947
10,3,3,,0,947
11,4,3,,0,947
12,4,3,,0,947
13,2,3,,0,947
14,2,3,,0,947
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,8,4,1,240,886
4,7,4,1,203,1089
5,8,4,,0,1089
6,5,4,,0,1089
7,6,4,,0,1089
8,5,4,,0,1089
9,6,4,,0,1089
10,5,4,,0,1089
11,4,4,,0,1089
12,4,4,,0,1089
13,3,4,,0,1089
14,3,4,,0,1089
15,2,4,1,52,1141
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,7,5,1,203,923
4,6,5,1,168,1091
5,6,5,,0,1091
6,4,5,1,104,1195
7,4,5,,0,1195
8,4,5,,0,1195
9,2,5,,0,1195
10,2,5,,0,1195
11,2,5,,0,1195
12,2,5,,0,1195
13,2,5,,0,1195
0,8,6,1,240,240
1,8,6,1,240,480
2,8,6,1,240,720
3,7,6,1,203,923
4,5,6,1,120,1043
5,6,6,,0,1043
6,6,6,,0,1043
7,6,6,,0,1043
8,3,6,1,69,1112
9,4,6,,0,1112
10,3,6,,0,1112
