party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,6,0,1,168,576
3,5,0,1,120,696
4,3,0,1,69,765
5,3,0,1,69,834
6,4,0,1,104,938
7,2,0,,0,938
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,8,1,1,240,923
4,5,1,1,120,1043
5,5,1,,0,1043
6,5,1,,0,1043
7,6,1,,0,1043
8,3,1,1,69,1112
9,3,1,,0,1112
10,3,1,,0,1112
11,4,1,,0,1112
0,8,2,1,240,240
1,5,2,1,120,360
2,6,2,1,168,528
3,3,2,1,69,597
4,4,2,1,104,701
5,4,2,1,104,805
6,3,2,1,69,874
7,4,2,,0,874
8,4,2,,0,874
9,2,2,,0,874
10,2,2,,0,874
11,2,2,,0,874
0,8,3,1,240,240
1,7,3,1,203,443
2,6,3,1,168,611
3,5,3,1,120,731
4,6,3,1,168,899
5,5,3,1,120,1019
6,5,3,,0,1019
7,5,3,,0,1019
8,4,3,,0,1019
9,3,3,,0,1019
10,4,3,,0,1019
11,3,3,,0,1019
12,2,3,,0,1019
13,2,3,,0,1019
0,7,4,1,203,203
1,8,4,1,240,443
2,5,4,1,120,563
3,5,4,1,120,683
4,6,4,1,168,851
5,4,4,1,104,955
6,3,4,,0,955
7,3,4,,0,955
8,3,4,,0,955
9,4,4,,0,955
10,2,4,,0,955
11,2,4,,0,955
12,2,4,,0,955
13,2,4,,0,955
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,8,5,1,240,886
4,7,5,1,203,1089
5,8,5,,0,1089
6,7,5,,0,1089
7,6,5,,0,1089
8,6,5,,0,1089
9,5,5,,0,1089
10,6,5,,0,1089
11,3,5,,0,1089
12,2,5,1,52,1141
13,2,5,,0,1141
0,7,6,1,203,203
1,7,6,1,203,406
2,7,6,1,203,609
3,7,6,1,203,812
4,7,6,1,203,1015
5,6,6,,0,1015
6,5,6,,0,1015
7,6,6,,0,1015
8,3,6,,0,1015
9,4,6,,0,1015
