party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,3,0,1,69,475
3,4,0,1,160,635
4,4,0,1,160,795
5,4,0,1,160,955
6,2,0,1,70,1025
7,2,0,1,70,1095
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,7,1,1,203,886
4,7,1,1,203,1089
5,6,1,1,360,1449
6,5,1,1,120,1569
7,4,1,1,160,1729
8,4,1,1,160,1889
9,4,1,1,160,2049
10,3,1,1,69,2118
11,2,1,1,70,2188
0,8,2,1,240,240
1,7,2,1,203,443
2,5,2,1,120,563
3,6,2,1,360,923
4,5,2,1,120,1043
5,6,2,1,360,1403
6,3,2,1,69,1472
7,4,2,1,160,1632
8,3,2,1,69,1701
9,3,2,1,69,1770
10,3,2,1,69,1839
11,2,2,1,70,1909
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,7,3,1,203,886
4,7,3,1,203,1089
5,7,3,1,203,1292
6,8,3,1,240,1532
7,6,3,1,360,1892
8,6,3,1,360,2252
9,6,3,1,360,2612
10,5,3,1,120,2732
11,6,3,1,360,3092
12,3,3,1,69,3161
13,4,3,,0,3161
14,4,3,,0,3161
15,3,3,,0,3161
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,8,4,1,240,886
4,7,4,1,203,1089
5,7,4,1,203,1292
6,6,4,1,360,1652
7,5,4,1,120,1772
8,5,4,1,120,1892
9,4,4,1,160,2052
10,4,4,1,160,2212
11,4,4,1,160,2372
12,3,4,1,69,2441
13,2,4,1,70,2511
0,7,5,1,203,203
1,8,5,1,240,443
2,8,5,1,240,683
3,8,5,1,240,923
4,6,5,1,360,1283
5,6,5,1,360,1643
6,5,5,1,120,1763
7,5,5,1,120,1883
8,5,5,1,120,2003
9,3,5,1,69,2072
10,4,5,1,160,2232
11,4,5,1,160,2392
12,4,5,1,160,2552
13,2,5,1,70,2622
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,7,6,1,203,886
4,5,6,1,120,1006
5,6,6,1,360,1366
6,6,6,1,360,1726
7,5,6,1,120,1846
8,6,6,1,360,2206
9,3,6,1,69,2275
10,4,6,1,160,2435
11,3,6,1,69,2504
