party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,360,600
2,6,0,1,360,960
3,6,0,1,360,1320
4,4,0,1,160,1480
5,3,0,1,69,1549
6,4,0,1,160,1709
7,3,0,,0,1709
8,4,0,,0,1709
0,7,1,1,203,203
1,7,1,1,203,406
2,6,1,1,360,766
3,3,1,1,69,835
4,4,1,1,160,995
5,3,1,1,69,1064
6,3,1,1,69,1133
7,3,1,,0,1133
8,2,1,,0,1133
9,2,1,,0,1133
0,8,2,1,240,240
1,8,2,1,240,480
2,8,2,1,240,720
3,8,2,1,240,960
4,8,2,1,240,1200
5,8,2,,0,1200
6,8,2,,0,1200
7,6,2,,0,1200
8,5,2,,0,1200
9,4,2,,0,1200
10,4,2,,0,1200
11,2,2,1,70,1270
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,7,3,1,203,886
4,5,3,1,120,1006
5,6,3,,0,1006
6,5,3,,0,1006
7,6,3,,0,1006
8,3,3,1,69,1075
9,3,3,,0,1075
10,2,3,,0,1075
11,2,3,,0,1075
12,2,3,,0,1075
13,2,3,,0,1075
14,2,3,,0,1075
15,2,3,,0,1075
0,8,4,1,240,240
1,7,4,1,203,443
2,8,4,1,240,683
3,7,4,1,203,886
4,8,4,1,240,1126
5,7,4,,0,1126
6,6,4,,0,1126
7,5,4,,0,1126
8,4,4,,0,1126
9,4,4,,0,1126
10,4,4,,0,1126
11,4,4,,0,1126
12,4,4,,0,1126
13,4,4,,0,1126
0,7,5,1,203,203
1,7,5,1,203,406
2,7,5,1,203,609
3,6,5,1,360,969
4,5,5,1,120,1089
5,6,5,1,360,1449
6,6,5,,0,1449
7,3,5,,0,1449
8,4,5,,0,1449
9,3,5,,0,1449
10,3,5,,0,1449
11,3,5,,0,1449
12,3,5,,0,1449
13,2,5,,0,1449
14,2,5,,0,1449
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,5,6,1,120,803
4,5,6,1,120,923
5,6,6,1,360,1283
6,6,6,,0,1283
7,4,6,,0,1283
8,4,6,,0,1283
9,3,6,,0,1283
10,2,6,,0,1283
