party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,8,0,1,240,646
3,7,0,1,203,849
4,6,0,1,168,1017
5,5,0,,0,1017
6,6,0,,0,1017
7,3,0,1,69,1086
8,2,0,,0,1086
0,8,1,1,240,240
1,7,1,1,203,443
2,6,1,1,168,611
3,5,1,1,120,731
4,5,1,1,120,851
5,3,1,1,69,920
6,4,1,,0,920
7,4,1,,0,920
8,3,1,,0,920
9,2,1,,0,920
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,5,2,1,120,766
4,5,2,1,120,886
5,5,2,1,120,1006
6,6,2,,0,1006
7,5,2,,0,1006
8,6,2,,0,1006
9,4,2,,0,1006
10,3,2,,0,1006
11,4,2,,0,1006
12,2,2,,0,1006
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,5,3,1,120,803
4,5,3,1,120,923
5,6,3,1,168,1091
6,5,3,,0,1091
7,4,3,,0,1091
8,4,3,,0,1091
9,4,3,,0,1091
10,3,3,,0,1091
11,3,3,,0,1091
12,4,3,,0,1091
13,2,3,,0,1091
14,2,3,,0,1091
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,7,4,1,203,849
4,8,4,1,240,1089
5,8,4,,0,1089
6,7,4,,0,1089
7,8,4,,0,1089
8,5,4,,0,1089
9,5,4,,0,1089
10,6,4,,0,1089
11,5,4,,0,1089
12,6,4,,0,1089
13,5,4,,0,1089
14,6,4,,0,1089
15,2,4,1,52,1141
0,8,5,1,240,240
1,7,5,1,203,443
2,8,5,1,240,683
3,8,5,1,240,923
4,7,5,1,203,1126
5,5,5,,0,1126
6,6,5,,0,1126
7,4,5,,0,1126
8,3,5,,0,1126
9,3,5,,0,1126
10,3,5,,0,1126
11,4,5,,0,1126
12,2,5,1,52,1178
13,2,5,,0,1178
0,7,6,1,203,203
1,5,6,1,120,323
2,6,6,1,168,491
3,6,6,1,168,659
4,6,6,1,168,827
5,3,6,1,69,896
6,3,6,,0,896
7,4,6,,0,896
8,2,6,1,52,948
9,2,6,,0,948
