party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,5,0,1,120,803
4,6,0,1,168,971
5,5,0,1,120,1091
6,4,0,,0,1091
7,4,0,,0,1091
8,4,0,,0,1091
9,2,0,,0,1091
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,8,1,1,240,923
4,8,1,1,240,1163
5,6,1,,0,1163
6,6,1,,0,1163
7,5,1,,0,1163
8,6,1,,0,1163
9,3,1,,0,1163
10,3,1,,0,1163
11,2,1,1,52,1215
0,7,2,1,203,203
1,7,2,1,203,406
2,5,2,1,120,526
3,6,2,1,168,694
4,5,2,1,120,814
5,5,2,1,120,934
6,6,2,,0,934
7,5,2,,0,934
8,6,2,,0,934
9,3,2,,0,934
10,4,2,,0,934
11,4,2,,0,934
12,3,2,,0,934
13,2,2,,0,934
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,8,3,1,240,849
4,8,3,1,240,1089
5,6,3,,0,1089
6,6,3,,0,1089
7,3,3,,0,1089
8,3,3,,0,1089
9,3,3,,0,1089
10,2,3,1,52,1141
11,2,3,,0,1141
12,2,3,,0,1141
13,2,3,,0,1141
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,8,4,1,240,1126
5,7,4,,0,1126
6,7,4,,0,1126
7,6,4,,0,1126
8,5,4,,0,1126
9,5,4,,0,1126
10,3,4,,0,1126
11,4,4,,0,1126
12,3,4,,0,1126
13,3,4,,0,1126
14,4,4,,0,1126
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,6,5,1,168,814
4,5,5,1,120,934
5,4,5,1,104,1038
6,3,5,,0,1038
7,3,5,,0,1038
8,4,5,,0,1038
9,2,5,,0,1038
10,2,5,,0,1038
11,2,5,,0,1038
12,2,5,,0,1038
13,2,5,,0,1038
14,2,5,,0,1038
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,7,6,1,203,886
4,5,6,1,120,1006
5,6,6,,0,1006
6,6,6,,0,1006
7,3,6,1,69,1075
8,4,6,,0,1075
9,3,6,,0,1075
10,4,6,,0,1075
11,2,6,,0,1075
