party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,7,0,1,203,646
3,8,0,1,240,886
4,5,0,1,120,1006
5,4,0,1,104,1110
6,3,0,,0,1110
7,3,0,,0,1110
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,5,1,1,120,766
4,5,1,1,120,886
5,6,1,1,168,1054
6,3,1,,0,1054
7,3,1,,0,1054
8,4,1,,0,1054
9,4,1,,0,1054
10,2,1,,0,1054
0,7,2,1,203,203
1,8,2,1,240,443
2,7,2,1,203,646
3,5,2,1,120,766
4,6,2,1,168,934
5,6,2,1,168,1102
6,6,2,,0,1102
7,5,2,,0,1102
8,3,2,,0,1102
9,2,2,,0,1102
10,2,2,,0,1102
11,2,2,,0,1102
12,2,2,,0,1102
0,8,3,1,240,240
1,6,3,1,168,408
2,5,3,1,120,528
3,6,3,1,168,696
4,5,3,1,120,816
5,5,3,1,120,936
6,6,3,,0,936
7,5,3,,0,936
8,5,3,,0,936
9,3,3,,0,936
10,4,3,,0,936
11,3,3,,0,936
12,2,3,,0,936
13,2,3,,0,936
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,6,4,1,168,851
4,6,4,1,168,1019
5,6,4,1,168,1187
6,4,4,,0,1187
7,3,4,,0,1187
8,3,4,,0,1187
9,3,4,,0,1187
10,2,4,,0,1187
11,2,4,,0,1187
12,2,4,,0,1187
13,2,4,,0,1187
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,8,5,1,240,923
4,8,5,1,240,1163
5,7,5,,0,1163
6,5,5,,0,1163
7,6,5,,0,1163
8,6,5,,0,1163
9,6,5,,0,1163
10,5,5,,0,1163
11,3,5,,0,1163
12,3,5,,0,1163
13,2,5,1,52,1215
0,8,6,1,240,240
1,7,6,1,203,443
2,6,6,1,168,611
3,5,6,1,120,731
4,6,6,1,168,899
5,3,6,1,69,968
6,3,6,,0,968
7,4,6,,0,968
8,4,6,,0,968
9,2,6,,0,968
