party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,6,0,1,168,851
4,6,0,1,168,1019
5,3,0,1,69,1088
6,4,0,,0,1088
7,4,0,,0,1088
8,2,0,,0,1088
9,2,0,,0,1088
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,7,1,1,203,849
4,5,1,1,120,969
5,6,1,,0,969
6,3,1,1,69,1038
7,3,1,,0,1038
8,4,1,,0,1038
9,3,1,,0,1038
10,2,1,,0,1038
0,8,2,1,240,240
1,8,2,1,240,480
2,6,2,1,168,648
3,5,2,1,120,768
4,5,2,1,120,888
5,6,2,1,168,1056
6,3,2,,0,1056
7,3,2,,0,1056
8,4,2,,0,1056
9,4,2,,0,1056
10,3,2,,0,1056
11,2,2,,0,1056
0,7,3,1,203,203
1,7,3,1,203,406
2,8,3,1,240,646
3,7,3,1,203,849
4,7,3,1,203,1052
5,7,3,,0,1052
6,8,3,,0,1052
7,6,3,,0,1052
8,6,3,,0,1052
9,5,3,,0,1052
10,3,3,,0,1052
11,4,3,,0,1052
12,3,3,,0,1052
13,4,3,,0,1052
14,4,3,,0,1052
15,3,3,,0,1052
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,5,4,1,120,766
4,5,4,1,120,886
5,5,4,1,120,1006
6,4,4,,0,1006
7,3,4,,0,1006
8,4,4,,0,1006
9,3,4,,0,1006
10,4,4,,0,1006
11,4,4,,0,1006
12,2,4,,0,1006
13,2,4,,0,1006
14,2,4,,0,1006
15,2,4,,0,1006
0,5,5,1,120,120
1,6,5,1,168,288
2,5,5,1,120,408
3,4,5,1,104,512
4,3,5,1,69,581
5,4,5,1,104,685
6,3,5,1,69,754
7,3,5,,0,754
8,4,5,,0,754
9,4,5,,0,754
10,2,5,,0,754
11,2,5,,0,754
12,2,5,,0,754
13,2,5,,0,754
0,7,6,1,203,203
1,7,6,1,203,406
2,8,6,1,240,646
3,8,6,1,240,886
4,3,6,1,69,955
5,3,6,1,69,1024
6,4,6,,0,1024
7,4,6,,0,1024
8,2,6,,0,1024
9,2,6,,0,1024
