party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,8,0,1,240,720
3,6,0,1,168,888
4,4,0,1,104,992
5,3,0,1,69,1061
6,3,0,,0,1061
7,3,0,,0,1061
8,2,0,,0,1061
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,5,1,1,120,766
4,6,1,1,168,934
5,5,1,1,120,1054
6,5,1,,0,1054
7,3,1,,0,1054
8,3,1,,0,1054
9,2,1,,0,1054
10,2,1,,0,1054
11,2,1,,0,1054
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,8,2,1,240,923
4,7,2,1,203,1126
5,6,2,,0,1126
6,5,2,,0,1126
7,3,2,,0,1126
8,4,2,,0,1126
9,4,2,,0,1126
10,3,2,,0,1126
11,2,2,1,52,1178
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,7,3,1,203,886
4,8,3,1,240,1126
5,8,3,,0,1126
6,7,3,,0,1126
7,7,3,,0,1126
8,8,3,,0,1126
9,7,3,,0,1126
10,8,3,,0,1126
11,6,3,,0,1126
12,3,3,,0,1126
13,4,3,,0,1126
14,2,3,1,52,1178
15,2,3,,0,1178
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,7,4,1,203,849
4,5,4,1,120,969
5,5,4,,0,969
6,6,4,,0,969
7,4,4,1,104,1073
8,3,4,,0,1073
9,3,4,,0,1073
10,3,4,,0,1073
11,2,4,,0,1073
12,2,4,,0,1073
13,2,4,,0,1073
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,8,5,1,240,960
4,5,5,1,120,1080
5,5,5,,0,1080
6,6,5,,0,1080
7,5,5,,0,1080
8,3,5,1,69,1149
9,4,5,,0,1149
10,3,5,,0,1149
11,2,5,,0,1149
12,2,5,,0,1149
13,2,5,,0,1149
14,2,5,,0,1149
0,8,6,1,240,240
1,7,6,1,203,443
2,8,6,1,240,683
3,5,6,1,120,803
4,5,6,1,120,923
5,4,6,1,104,1027
6,3,6,,0,1027
7,3,6,,0,1027
8,3,6,,0,1027
9,2,6,,0,1027
10,2,6,,0,1027
11,2,6,,0,1027
