party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,7,0,1,203,609
3,5,0,1,120,729
4,6,0,1,168,897
5,6,0,1,168,1065
6,4,0,,0,1065
7,3,0,,0,1065
8,4,0,,0,1065
0,8,1,1,240,240
1,8,1,1,240,480
2,8,1,1,240,720
3,8,1,1,240,960
4,5,1,1,120,1080
5,5,1,,0,1080
6,6,1,,0,1080
7,3,1,1,69,1149
8,4,1,,0,1149
9,2,1,,0,1149
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,7,2,1,203,849
4,7,2,1,203,1052
5,5,2,,0,1052
6,5,2,,0,1052
7,6,2,,0,1052
8,6,2,,0,1052
9,4,2,,0,1052
10,2,2,1,52,1104
11,2,2,,0,1104
12,2,2,,0,1104
13,2,2,,0,1104
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,7,3,1,203,849
4,8,3,1,240,1089
5,5,3,,0,1089
6,6,3,,0,1089
7,6,3,,0,1089
8,5,3,,0,1089
9,3,3,,0,1089
10,3,3,,0,1089
11,4,3,,0,1089
12,4,3,,0,1089
13,2,3,1,52,1141
14,2,3,,0,1141
15,2,3,,0,1141
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,8,4,1,240,923
4,6,4,1,168,1091
5,5,4,,0,1091
6,5,4,,0,1091
7,5,4,,0,1091
8,4,4,1,104,1195
9,4,4,,0,1195
10,4,4,,0,1195
11,2,4,,0,1195
12,2,4,,0,1195
13,2,4,,0,1195
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,6,5,1,168,888
4,5,5,1,120,1008
5,5,5,1,120,1128
6,3,5,,0,1128
7,3,5,,0,1128
8,3,5,,0,1128
9,4,5,,0,1128
10,4,5,,0,1128
11,4,5,,0,1128
12,4,5,,0,1128
13,2,5,,0,1128
0,8,6,1,240,240
1,7,6,1,203,443
2,5,6,1,120,563
3,5,6,1,120,683
4,6,6,1,168,851
5,3,6,1,69,920
6,4,6,,0,920
7,4,6,,0,920
8,2,6,,0,920
9,2,6,,0,920
