party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,7,0,1,203,683
3,7,0,1,203,886
4,7,0,1,203,1089
5,3,0,,0,1089
6,3,0,,0,1089
7,4,0,,0,1089
8,3,0,,0,1089
9,2,0,1,52,1141
0,7,1,1,203,203
1,7,1,1,203,406
2,5,1,1,120,526
3,5,1,1,120,646
4,5,1,1,120,766
5,3,1,1,69,835
6,4,1,,0,835
7,2,1,,0,835
8,2,1,,0,835
9,2,1,,0,835
10,2,1,,0,835
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,6,2,1,168,777
4,6,2,1,168,945
5,6,2,1,168,1113
6,6,2,,0,1113
7,6,2,,0,1113
8,6,2,,0,1113
9,6,2,,0,1113
10,4,2,,0,1113
11,3,2,,0,1113
12,3,2,,0,1113
13,4,2,,0,1113
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,7,3,1,203,849
4,8,3,1,240,1089
5,8,3,,0,1089
6,7,3,,0,1089
7,5,3,,0,1089
8,6,3,,0,1089
9,6,3,,0,1089
10,4,3,,0,1089
11,4,3,,0,1089
12,2,3,1,52,1141
13,2,3,,0,1141
14,2,3,,0,1141
15,2,3,,0,1141
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,7,4,1,203,849
4,8,4,1,240,1089
5,8,4,,0,1089
6,6,4,,0,1089
7,5,4,,0,1089
8,4,4,,0,1089
9,4,4,,0,1089
10,4,4,,0,1089
11,4,4,,0,1089
12,3,4,,0,1089
13,3,4,,0,1089
14,2,4,1,52,1141
0,7,5,1,203,203
1,8,5,1,240,443
2,8,5,1,240,683
3,8,5,1,240,923
4,7,5,1,203,1126
5,7,5,,0,1126
6,6,5,,0,1126
7,6,5,,0,1126
8,5,5,,0,1126
9,6,5,,0,1126
10,6,5,,0,1126
11,3,5,,0,1126
12,3,5,,0,1126
13,3,5,,0,1126
0,8,6,1,240,240
1,7,6,1,203,443
2,8,6,1,240,683
3,7,6,1,203,886
4,8,6,1,240,1126
5,8,6,,0,1126
6,6,6,,0,1126
7,5,6,,0,1126
8,4,6,,0,1126
9,3,6,,0,1126
10,4,6,,0,1126
