party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,5,0,1,120,323
2,5,0,1,120,443
3,6,0,1,168,611
4,6,0,1,168,779
5,6,0,1,168,947
6,6,0,,0,947
7,6,0,,0,947
8,3,0,,0,947
9,3,0,,0,947
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,5,1,1,120,803
4,5,1,1,120,923
5,6,1,1,168,1091
6,3,1,,0,1091
7,3,1,,0,1091
8,3,1,,0,1091
9,2,1,,0,1091
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,6,2,1,168,777
4,6,2,1,168,945
5,6,2,1,168,1113
6,5,2,,0,1113
7,6,2,,0,1113
8,3,2,,0,1113
9,3,2,,0,1113
10,3,2,,0,1113
11,3,2,,0,1113
12,3,2,,0,1113
13,2,2,,0,1113
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,7,3,1,203,886
4,5,3,1,120,1006
5,5,3,,0,1006
6,6,3,,0,1006
7,3,3,1,69,1075
8,4,3,,0,1075
9,4,3,,0,1075
10,4,3,,0,1075
11,2,3,,0,1075
12,2,3,,0,1075
13,2,3,,0,1075
14,2,3,,0,1075
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,8,4,1,240,1126
5,5,4,,0,1126
6,6,4,,0,1126
7,5,4,,0,1126
8,6,4,,0,1126
9,4,4,,0,1126
10,4,4,,0,1126
11,4,4,,0,1126
12,3,4,,0,1126
13,4,4,,0,1126
14,4,4,,0,1126
15,2,4,1,52,1178
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,8,5,1,240,886
4,7,5,1,203,1089
5,8,5,,0,1089
6,7,5,,0,1089
7,7,5,,0,1089
8,6,5,,0,1089
9,6,5,,0,1089
10,4,5,,0,1089
11,3,5,,0,1089
12,4,5,,0,1089
13,4,5,,0,1089
14,2,5,1,52,1141
0,8,6,1,240,240
1,7,6,1,203,443
2,7,6,1,203,646
3,7,6,1,203,849
4,5,6,1,120,969
5,6,6,,0,969
6,6,6,,0,969
7,6,6,,0,969
8,6,6,,0,969
9,3,6,1,69,1038
10,3,6,,0,1038
11,3,6,,0,1038
