party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,6,0,1,168,576
3,5,0,1,120,696
4,6,0,1,168,864
5,4,0,1,104,968
6,2,0,1,52,1020
7,2,0,,0,1020
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,7,1,1,203,849
4,5,1,1,120,969
5,6,1,,0,969
6,6,1,,0,969
7,6,1,,0,969
8,5,1,,0,969
9,6,1,,0,969
10,3,1,1,69,1038
0,8,2,1,240,240
1,8,2,1,240,480
2,6,2,1,168,648
3,5,2,1,120,768
4,6,2,1,168,936
5,6,2,1,168,1104
6,6,2,,0,1104
7,5,2,,0,1104
8,6,2,,0,1104
9,4,2,,0,1104
10,3,2,,0,1104
11,4,2,,0,1104
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,8,3,1,240,1126
5,5,3,,0,1126
6,6,3,,0,1126
7,5,3,,0,1126
8,6,3,,0,1126
9,4,3,,0,1126
10,3,3,,0,1126
11,4,3,,0,1126
12,4,3,,0,1126
13,4,3,,0,1126
14,2,3,1,52,1178
15,2,3,,0,1178
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,7,4,1,203,849
4,5,4,1,120,969
5,6,4,,0,969
6,5,4,,0,969
7,4,4,1,104,1073
8,3,4,,0,1073
9,3,4,,0,1073
10,2,4,,0,1073
11,2,4,,0,1073
12,2,4,,0,1073
13,2,4,,0,1073
0,7,5,1,203,203
1,5,5,1,120,323
2,6,5,1,168,491
3,6,5,1,168,659
4,6,5,1,168,827
5,5,5,1,120,947
6,5,5,,0,947
7,6,5,,0,947
8,5,5,,0,947
9,4,5,,0,947
10,3,5,,0,947
11,2,5,,0,947
12,2,5,,0,947
13,2,5,,0,947
0,7,6,1,203,203
1,7,6,1,203,406
2,6,6,1,168,574
3,5,6,1,120,694
4,6,6,1,168,862
5,5,6,1,120,982
6,6,6,,0,982
7,3,6,,0,982
8,3,6,,0,982
9,3,6,,0,982
10,3,6,,0,982
11,2,6,,0,982
