party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,5,0,1,120,526
3,5,0,1,120,646
4,3,0,1,69,715
5,4,0,1,104,819
6,4,0,,0,819
7,4,0,,0,819
8,3,0,,0,819
9,2,0,1,52,871
0,7,1,1,203,203
1,7,1,1,203,406
2,8,1,1,240,646
3,5,1,1,120,766
4,6,1,1,168,934
5,6,1,1,168,1102
6,6,1,,0,1102
7,5,1,,0,1102
8,4,1,,0,1102
9,3,1,,0,1102
10,2,1,,0,1102
11,2,1,,0,1102
0,7,2,1,203,203
1,5,2,1,120,323
2,5,2,1,120,443
3,6,2,1,168,611
4,6,2,1,168,779
5,6,2,1,168,947
6,3,2,,0,947
7,3,2,,0,947
8,4,2,,0,947
9,3,2,,0,947
10,4,2,,0,947
11,2,2,,0,947
0,7,3,1,203,203
1,7,3,1,203,406
2,7,3,1,203,609
3,7,3,1,203,812
4,6,3,1,168,980
5,5,3,,0,980
6,5,3,,0,980
7,3,3,1,69,1049
8,4,3,,0,1049
9,4,3,,0,1049
10,3,3,,0,1049
11,4,3,,0,1049
12,4,3,,0,1049
13,2,3,,0,1049
14,2,3,,0,1049
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,6,4,1,168,1054
5,6,4,,0,1054
6,6,4,,0,1054
7,5,4,,0,1054
8,4,4,1,104,1158
9,3,4,,0,1158
10,4,4,,0,1158
11,2,4,,0,1158
12,2,4,,0,1158
13,2,4,,0,1158
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,5,5,1,120,840
4,6,5,1,168,1008
5,6,5,1,168,1176
6,6,5,,0,1176
7,3,5,,0,1176
8,3,5,,0,1176
9,4,5,,0,1176
10,3,5,,0,1176
11,3,5,,0,1176
12,2,5,,0,1176
13,2,5,,0,1176
0,7,6,1,203,203
1,8,6,1,240,443
2,8,6,1,240,683
3,7,6,1,203,886
4,6,6,1,168,1054
5,5,6,,0,1054
6,6,6,,0,1054
7,6,6,,0,1054
8,5,6,,0,1054
9,6,6,,0,1054
10,2,6,1,52,1106
11,2,6,,0,1106
