party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,7,0,1,203,646
3,8,0,1,240,886
4,5,0,1,120,1006
5,6,0,,0,1006
6,3,0,1,69,1075
7,3,0,,0,1075
8,2,0,,0,1075
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,7,1,1,203,886
4,7,1,1,203,1089
5,6,1,,0,1089
6,6,1,,0,1089
7,3,1,,0,1089
8,3,1,,0,1089
9,4,1,,0,1089
10,2,1,1,70,1159
0,8,2,1,240,240
1,7,2,1,203,443
2,8,2,1,240,683
3,5,2,1,120,803
4,5,2,1,120,923
5,5,2,1,120,1043
6,6,2,,0,1043
7,5,2,,0,1043
8,6,2,,0,1043
9,3,2,,0,1043
10,3,2,,0,1043
11,2,2,,0,1043
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,8,3,1,240,923
4,5,3,1,120,1043
5,6,3,,0,1043
6,5,3,,0,1043
7,6,3,,0,1043
8,6,3,,0,1043
9,5,3,,0,1043
10,3,3,1,69,1112
11,4,3,,0,1112
12,3,3,,0,1112
13,2,3,,0,1112
0,7,4,1,203,203
1,7,4,1,203,406
2,5,4,1,120,526
3,5,4,1,120,646
4,6,4,1,360,1006
5,6,4,1,360,1366
6,4,4,,0,1366
7,4,4,,0,1366
8,3,4,,0,1366
9,4,4,,0,1366
10,4,4,,0,1366
11,4,4,,0,1366
12,3,4,,0,1366
13,2,4,,0,1366
14,2,4,,0,1366
15,2,4,,0,1366
0,8,5,1,240,240
1,5,5,1,120,360
2,5,5,1,120,480
3,5,5,1,120,600
4,5,5,1,120,720
5,6,5,1,360,1080
6,5,5,,0,1080
7,4,5,,0,1080
8,4,5,,0,1080
9,4,5,,0,1080
10,3,5,,0,1080
11,3,5,,0,1080
12,4,5,,0,1080
13,2,5,,0,1080
14,2,5,,0,1080
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,7,6,1,203,886
4,7,6,1,203,1089
5,6,6,,0,1089
6,5,6,,0,1089
7,6,6,,0,1089
8,3,6,,0,1089
9,3,6,,0,1089
10,3,6,,0,1089
11,4,6,,0,1089
