party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,8,0,1,240,683
3,7,0,1,203,886
4,8,0,1,240,1126
5,6,0,,0,1126
6,6,0,,0,1126
7,3,0,,0,1126
8,2,0,1,52,1178
9,2,0,,0,1178
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,5,1,1,120,729
4,5,1,1,120,849
5,5,1,1,120,969
6,3,1,,0,969
7,4,1,,0,969
8,3,1,,0,969
9,2,1,,0,969
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,7,2,1,203,849
4,7,2,1,203,1052
5,5,2,,0,1052
6,5,2,,0,1052
7,6,2,,0,1052
8,4,2,,0,1052
9,4,2,,0,1052
10,4,2,,0,1052
11,2,2,1,52,1104
12,2,2,,0,1104
0,8,3,1,240,240
1,6,3,1,168,408
2,5,3,1,120,528
3,6,3,1,168,696
4,5,3,1,120,816
5,6,3,1,168,984
6,6,3,,0,984
7,6,3,,0,984
8,3,3,,0,984
9,3,3,,0,984
10,3,3,,0,984
11,4,3,,0,984
12,3,3,,0,984
13,4,3,,0,984
14,2,3,,0,984
15,2,3,,0,984
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,5,4,1,120,766
4,5,4,1,120,886
5,6,4,1,168,1054
6,6,4,,0,1054
7,6,4,,0,1054
8,4,4,,0,1054
9,4,4,,0,1054
10,4,4,,0,1054
11,3,4,,0,1054
12,3,4,,0,1054
13,2,4,,0,1054
0,6,5,1,168,168
1,5,5,1,120,288
2,6,5,1,168,456
3,5,5,1,120,576
4,6,5,1,168,744
5,5,5,1,120,864
6,5,5,,0,864
7,6,5,,0,864
8,4,5,,0,864
9,3,5,,0,864
10,3,5,,0,864
11,2,5,1,52,916
12,2,5,,0,916
13,2,5,,0,916
0,7,6,1,203,203
1,7,6,1,203,406
2,5,6,1,120,526
3,6,6,1,168,694
4,6,6,1,168,862
5,3,6,1,69,931
6,4,6,,0,931
7,4,6,,0,931
8,3,6,,0,931
9,4,6,,0,931
10,2,6,,0,931
