party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,7,0,1,203,683
3,6,0,1,168,851
4,4,0,1,104,955
5,3,0,1,69,1024
6,4,0,,0,1024
7,2,0,,0,1024
8,2,0,,0,1024
9,2,0,,0,1024
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,8,1,1,240,923
4,6,1,1,168,1091
5,5,1,,0,1091
6,5,1,,0,1091
7,4,1,1,104,1195
8,3,1,,0,1195
9,4,1,,0,1195
0,8,2,1,240,240
1,7,2,1,203,443
2,7,2,1,203,646
3,8,2,1,240,886
4,5,2,1,120,1006
5,6,2,,0,1006
6,5,2,,0,1006
7,5,2,,0,1006
8,3,2,1,69,1075
9,4,2,,0,1075
10,4,2,,0,1075
11,3,2,,0,1075
12,2,2,,0,1075
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,8,3,1,240,886
4,8,3,1,240,1126
5,5,3,,0,1126
6,6,3,,0,1126
7,5,3,,0,1126
8,6,3,,0,1126
9,5,3,,0,1126
10,3,3,,0,1126
11,4,3,,0,1126
12,4,3,,0,1126
13,3,3,,0,1126
14,3,3,,0,1126
15,2,3,1,52,1178
0,7,4,1,203,203
1,8,4,1,240,443
2,7,4,1,203,646
3,7,4,1,203,849
4,6,4,1,168,1017
5,6,4,,0,1017
6,5,4,,0,1017
7,5,4,,0,1017
8,5,4,,0,1017
9,6,4,,0,1017
10,4,4,1,104,1121
11,4,4,,0,1121
12,3,4,,0,1121
13,2,4,,0,1121
14,2,4,,0,1121
0,8,5,1,240,240
1,8,5,1,240,480
2,8,5,1,240,720
3,6,5,1,168,888
4,6,5,1,168,1056
5,6,5,1,168,1224
6,6,5,,0,1224
7,5,5,,0,1224
8,4,5,,0,1224
9,4,5,,0,1224
10,4,5,,0,1224
11,2,5,,0,1224
12,2,5,,0,1224
13,2,5,,0,1224
0,7,6,1,203,203
1,7,6,1,203,406
2,8,6,1,240,646
3,6,6,1,168,814
4,5,6,1,120,934
5,5,6,1,120,1054
6,3,6,,0,1054
7,4,6,,0,1054
8,3,6,,0,1054
9,3,6,,0,1054
