party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,8,0,1,240,683
3,5,0,1,120,803
4,6,0,1,360,1163
5,6,0,1,360,1523
6,4,0,,0,1523
7,4,0,,0,1523
8,4,0,,0,1523
9,4,0,,0,1523
0,7,1,1,203,203
1,7,1,1,203,406
2,7,1,1,203,609
3,6,1,1,360,969
4,5,1,1,120,1089
5,5,1,1,120,1209
6,5,1,,0,1209
7,6,1,,0,1209
8,5,1,,0,1209
9,6,1,,0,1209
10,4,1,,0,1209
11,2,1,,0,1209
0,7,2,1,203,203
1,7,2,1,203,406
2,7,2,1,203,609
3,8,2,1,240,849
4,8,2,1,240,1089
5,5,2,,0,1089
6,6,2,,0,1089
7,4,2,,0,1089
8,4,2,,0,1089
9,3,2,,0,1089
10,3,2,,0,1089
11,3,2,,0,1089
0,8,3,1,240,240
1,7,3,1,203,443
2,7,3,1,203,646
3,8,3,1,240,886
4,7,3,1,203,1089
5,8,3,,0,1089
6,5,3,,0,1089
7,5,3,,0,1089
8,3,3,,0,1089
9,4,3,,0,1089
10,2,3,1,70,1159
11,2,3,,0,1159
12,2,3,,0,1159
13,2,3,,0,1159
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,5,4,1,120,803
4,6,4,1,360,1163
5,6,4,1,360,1523
6,6,4,,0,1523
7,6,4,,0,1523
8,6,4,,0,1523
9,3,4,,0,1523
10,4,4,,0,1523
11,4,4,,0,1523
12,2,4,,0,1523
13,2,4,,0,1523
14,2,4,,0,1523
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,7,5,1,203,849
4,7,5,1,203,1052
5,7,5,,0,1052
6,6,5,,0,1052
7,6,5,,0,1052
8,4,5,,0,1052
9,3,5,,0,1052
10,3,5,,0,1052
11,2,5,1,70,1122
12,2,5,,0,1122
13,2,5,,0,1122
14,2,5,,0,1122
0,7,6,1,203,203
1,7,6,1,203,406
2,7,6,1,203,609
3,7,6,1,203,812
4,5,6,1,120,932
5,6,6,,0,932
6,6,6,,0,932
7,5,6,,0,932
8,3,6,1,69,1001
9,3,6,,0,1001
10,3,6,,0,1001
