party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,7,0,1,203,646
3,7,0,1,203,849
4,6,0,1,168,1017
5,3,0,1,69,1086
6,3,0,,0,1086
7,2,0,,0,1086
0,7,1,1,203,203
1,7,1,1,203,406
2,5,1,1,120,526
3,5,1,1,120,646
4,6,1,1,168,814
5,3,1,1,69,883
6,4,1,,0,883
7,3,1,,0,883
8,2,1,,0,883
9,2,1,,0,883
10,2,1,,0,883
11,2,1,,0,883
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,5,2,1,120,803
4,5,2,1,120,923
5,5,2,1,120,1043
6,6,2,,0,1043
7,4,2,,0,1043
8,4,2,,0,1043
9,4,2,,0,1043
10,3,2,,0,1043
11,4,2,,0,1043
12,2,2,,0,1043
13,2,2,,0,1043
0,7,3,1,203,203
1,8,3,1,240,443
2,6,3,1,168,611
3,6,3,1,168,779
4,6,3,1,168,947
5,5,3,1,120,1067
6,5,3,,0,1067
7,5,3,,0,1067
8,5,3,,0,1067
9,6,3,,0,1067
10,6,3,,0,1067
11,4,3,,0,1067
12,4,3,,0,1067
13,4,3,,0,1067
0,8,4,1,240,240
1,8,4,1,240,480
2,8,4,1,240,720
3,5,4,1,120,840
4,6,4,1,168,1008
5,5,4,1,120,1128
6,6,4,,0,1128
7,5,4,,0,1128
8,4,4,,0,1128
9,4,4,,0,1128
10,3,4,,0,1128
11,4,4,,0,1128
12,4,4,,0,1128
13,4,4,,0,1128
14,2,4,,0,1128
0,7,5,1,203,203
1,7,5,1,203,406
2,6,5,1,168,574
3,6,5,1,168,742
4,6,5,1,168,910
5,5,5,1,120,1030
6,6,5,,0,1030
7,5,5,,0,1030
8,5,5,,0,1030
9,3,5,,0,1030
10,4,5,,0,1030
11,3,5,,0,1030
12,2,5,,0,1030
13,2,5,,0,1030
0,8,6,1,240,240
1,8,6,1,240,480
2,8,6,1,240,720
3,8,6,1,240,960
4,6,6,1,168,1128
5,5,6,,0,1128
6,5,6,,0,1128
7,5,6,,0,1128
8,4,6,1,88,1216
9,3,6,,0,1216
10,2,6,,0,1216
