party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,5,0,1,120,563
3,6,0,1,360,923
4,3,0,1,69,992
5,3,0,1,69,1061
6,3,0,,0,1061
7,2,0,1,70,1131
0,7,1,1,203,203
1,8,1,1,240,443
2,8,1,1,240,683
3,6,1,1,360,1043
4,6,1,1,360,1403
5,5,1,1,120,1523
6,6,1,,0,1523
7,3,1,,0,1523
8,3,1,,0,1523
9,3,1,,0,1523
10,4,1,,0,1523
11,4,1,,0,1523
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,7,2,1,203,849
4,7,2,1,203,1052
5,7,2,,0,1052
6,7,2,,0,1052
7,5,2,,0,1052
8,6,2,,0,1052
9,5,2,,0,1052
10,4,2,,0,1052
11,4,2,,0,1052
12,3,2,,0,1052
13,2,2,1,70,1122
0,8,3,1,240,240
1,8,3,1,240,480
2,8,3,1,240,720
3,7,3,1,203,923
4,8,3,1,240,1163
5,8,3,,0,1163
6,5,3,,0,1163
7,5,3,,0,1163
8,5,3,,0,1163
9,6,3,,0,1163
10,4,3,,0,1163
11,3,3,,0,1163
12,4,3,,0,1163
13,3,3,,0,1163
14,2,3,1,70,1233
15,2,3,,0,1233
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,7,4,1,203,849
4,7,4,1,203,1052
5,8,4,,0,1052
6,7,4,,0,1052
7,5,4,,0,1052
8,6,4,,0,1052
9,3,4,,0,1052
10,3,4,,0,1052
11,3,4,,0,1052
12,4,4,,0,1052
13,2,4,1,70,1122
14,2,4,,0,1122
15,2,4,,0,1122
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,7,5,1,203,849
4,8,5,1,240,1089
5,7,5,,0,1089
6,7,5,,0,1089
7,7,5,,0,1089
8,6,5,,0,1089
9,6,5,,0,1089
10,4,5,,0,1089
11,4,5,,0,1089
12,4,5,,0,1089
13,2,5,1,70,1159
0,8,6,1,240,240
1,7,6,1,203,443
2,7,6,1,203,646
3,7,6,1,203,849
4,8,6,1,240,1089
5,5,6,,0,1089
6,6,6,,0,1089
7,4,6,,0,1089
8,2,6,1,70,1159
9,2,6,,0,1159
