party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,8,0,1,240,443
2,4,0,1,160,603
3,4,0,1,160,763
4,4,0,1,160,923
5,4,0,1,160,1083
6,4,0,1,160,1243
7,3,0,,0,1243
8,2,0,,0,1243
9,2,0,,0,1243
0,7,1,1,203,203
1,8,1,1,240,443
2,7,1,1,203,646
3,7,1,1,203,849
4,7,1,1,203,1052
5,5,1,,0,1052
6,5,1,,0,1052
7,5,1,,0,1052
8,5,1,,0,1052
9,3,1,,0,1052
10,4,1,,0,1052
11,4,1,,0,1052
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,5,2,1,120,803
4,5,2,1,120,923
5,6,2,1,360,1283
6,5,2,,0,1283
7,3,2,,0,1283
8,4,2,,0,1283
9,4,2,,0,1283
10,3,2,,0,1283
11,4,2,,0,1283
0,8,3,1,240,240
1,8,3,1,240,480
2,7,3,1,203,683
3,7,3,1,203,886
4,7,3,1,203,1089
5,8,3,,0,1089
6,8,3,,0,1089
7,7,3,,0,1089
8,6,3,,0,1089
9,5,3,,0,1089
10,5,3,,0,1089
11,4,3,,0,1089
12,3,3,,0,1089
13,3,3,,0,1089
14,3,3,,0,1089
0,7,4,1,203,203
1,8,4,1,240,443
2,6,4,1,360,803
3,5,4,1,120,923
4,5,4,1,120,1043
5,5,4,1,120,1163
6,4,4,,0,1163
7,3,4,,0,1163
8,3,4,,0,1163
9,3,4,,0,1163
10,4,4,,0,1163
11,4,4,,0,1163
12,3,4,,0,1163
13,4,4,,0,1163
14,2,4,,0,1163
15,2,4,,0,1163
0,8,5,1,240,240
1,7,5,1,203,443
2,7,5,1,203,646
3,7,5,1,203,849
4,5,5,1,120,969
5,6,5,,0,969
6,6,5,,0,969
7,4,5,1,160,1129
8,3,5,,0,1129
9,3,5,,0,1129
10,2,5,,0,1129
11,2,5,,0,1129
12,2,5,,0,1129
13,2,5,,0,1129
14,2,5,,0,1129
0,7,6,1,203,203
1,7,6,1,203,406
2,7,6,1,203,609
3,6,6,1,360,969
4,6,6,1,360,1329
5,6,6,1,360,1689
6,3,6,,0,1689
7,3,6,,0,1689
8,2,6,,0,1689
9,2,6,,0,1689
10,2,6,,0,1689
