party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,7,0,1,203,646
3,8,0,1,240,886
4,6,0,1,360,1246
5,6,0,,0,1246
6,3,0,1,69,1315
7,4,0,,0,1315
8,4,0,,0,1315
9,2,0,,0,1315
0,8,1,1,240,240
1,7,1,1,203,443
2,7,1,1,203,646
3,5,1,1,120,766
4,5,1,1,120,886
5,4,1,1,160,1046
6,3,1,,0,1046
7,4,1,,0,1046
8,3,1,,0,1046
9,4,1,,0,1046
10,2,1,,0,1046
11,2,1,,0,1046
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,8,2,1,240,923
4,7,2,1,203,1126
5,8,2,,0,1126
6,6,2,,0,1126
7,6,2,,0,1126
8,6,2,,0,1126
9,6,2,,0,1126
10,4,2,,0,1126
11,3,2,,0,1126
12,3,2,,0,1126
13,2,2,1,70,1196
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,7,3,1,203,849
4,7,3,1,203,1052
5,7,3,,0,1052
6,7,3,,0,1052
7,6,3,,0,1052
8,5,3,,0,1052
9,4,3,,0,1052
10,3,3,,0,1052
11,3,3,,0,1052
12,2,3,1,70,1122
13,2,3,,0,1122
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,7,4,1,203,812
4,7,4,1,203,1015
5,7,4,,0,1015
6,6,4,,0,1015
7,5,4,,0,1015
8,3,4,,0,1015
9,3,4,,0,1015
10,3,4,,0,1015
11,4,4,,0,1015
12,2,4,1,70,1085
13,2,4,,0,1085
14,2,4,,0,1085
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,7,5,1,203,886
4,7,5,1,203,1089
5,7,5,,0,1089
6,8,5,,0,1089
7,6,5,,0,1089
8,5,5,,0,1089
9,6,5,,0,1089
10,3,5,,0,1089
11,4,5,,0,1089
12,4,5,,0,1089
13,4,5,,0,1089
14,2,5,1,70,1159
0,8,6,1,240,240
1,8,6,1,240,480
2,6,6,1,360,840
3,6,6,1,360,1200
4,5,6,1,120,1320
5,6,6,1,360,1680
6,3,6,,0,1680
7,3,6,,0,1680
8,4,6,,0,1680
9,4,6,,0,1680
10,2,6,,0,1680
11,2,6,,0,1680
