party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,6,0,1,168,576
3,5,0,1,120,696
4,5,0,1,120,816
5,4,0,1,104,920
6,4,0,,0,920
7,3,0,,0,920
8,3,0,,0,920
9,4,0,,0,920
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,8,1,1,240,923
4,8,1,1,240,1163
5,6,1,,0,1163
6,4,1,,0,1163
7,2,1,1,52,1215
8,2,1,,0,1215
9,2,1,,0,1215
0,7,2,1,203,203
1,8,2,1,240,443
2,8,2,1,240,683
3,8,2,1,240,923
4,5,2,1,120,1043
5,6,2,,0,1043
6,4,2,1,104,1147
7,4,2,,0,1147
8,4,2,,0,1147
9,3,2,,0,1147
10,2,2,,0,1147
11,2,2,,0,1147
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,8,3,1,240,886
4,8,3,1,240,1126
5,6,3,,0,1126
6,5,3,,0,1126
7,6,3,,0,1126
8,4,3,,0,1126
9,3,3,,0,1126
10,3,3,,0,1126
11,4,3,,0,1126
12,3,3,,0,1126
13,2,3,1,52,1178
14,2,3,,0,1178
0,8,4,1,240,240
1,6,4,1,168,408
2,5,4,1,120,528
3,5,4,1,120,648
4,6,4,1,168,816
5,5,4,1,120,936
6,5,4,,0,936
7,4,4,,0,936
8,3,4,,0,936
9,3,4,,0,936
10,3,4,,0,936
11,4,4,,0,936
12,4,4,,0,936
13,2,4,,0,936
14,2,4,,0,936
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,7,5,1,203,849
4,8,5,1,240,1089
5,6,5,,0,1089
6,5,5,,0,1089
7,4,5,,0,1089
8,4,5,,0,1089
9,3,5,,0,1089
10,4,5,,0,1089
11,3,5,,0,1089
12,2,5,1,52,1141
13,2,5,,0,1141
14,2,5,,0,1141
0,7,6,1,203,203
1,7,6,1,203,406
2,8,6,1,240,646
3,5,6,1,120,766
4,5,6,1,120,886
5,5,6,1,120,1006
6,3,6,,0,1006
7,4,6,,0,1006
8,4,6,,0,1006
9,2,6,,0,1006
10,2,6,,0,1006
