party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,7,0,1,203,443
2,6,0,1,360,803
3,6,0,1,360,1163
4,6,0,1,360,1523
5,6,0,1,360,1883
6,4,0,,0,1883
7,4,0,,0,1883
8,2,0,,0,1883
9,2,0,,0,1883
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,6,1,1,360,1043
4,6,1,1,360,1403
5,5,1,1,120,1523
6,3,1,,0,1523
7,3,1,,0,1523
8,2,1,,0,1523
9,2,1,,0,1523
10,2,1,,0,1523
0,7,2,1,203,203
1,8,2,1,240,443
2,6,2,1,360,803
3,5,2,1,120,923
4,5,2,1,120,1043
5,6,2,1,360,1403
6,5,2,,0,1403
7,6,2,,0,1403
8,6,2,,0,1403
9,3,2,,0,1403
10,3,2,,0,1403
11,3,2,,0,1403
0,7,3,1,203,203
1,8,3,1,240,443
2,7,3,1,203,646
3,7,3,1,203,849
4,6,3,1,360,1209
5,5,3,,0,1209
6,5,3,,0,1209
7,6,3,,0,1209
8,6,3,,0,1209
9,6,3,,0,1209
10,5,3,,0,1209
11,2,3,1,70,1279
12,2,3,,0,1279
13,2,3,,0,1279
14,2,3,,0,1279
0,7,4,1,203,203
1,7,4,1,203,406
2,8,4,1,240,646
3,7,4,1,203,849
4,6,4,1,360,1209
5,6,4,,0,1209
6,6,4,,0,1209
7,6,4,,0,1209
8,3,4,1,69,1278
9,4,4,,0,1278
10,4,4,,0,1278
11,3,4,,0,1278
12,3,4,,0,1278
13,3,4,,0,1278
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,8,5,1,240,886
4,8,5,1,240,1126
5,5,5,,0,1126
6,5,5,,0,1126
7,4,5,,0,1126
8,4,5,,0,1126
9,4,5,,0,1126
10,3,5,,0,1126
11,4,5,,0,1126
12,4,5,,0,1126
13,2,5,1,70,1196
0,6,6,1,360,360
1,5,6,1,120,480
2,3,6,1,69,549
3,3,6,1,69,618
4,4,6,1,160,778
5,3,6,1,69,847
6,2,6,1,70,917
7,2,6,1,70,987
8,2,6,,0,987
9,2,6,,0,987
